Nation,Party,Target,Feature,Pearson_r
england,CON,2024_share,Superwealthy,0.069
england,CON,2024_share,Rural,0.495
england,CON,2024_share,LGBT,-0.565
england,CON,2024_share,White,0.419
england,CON,2024_share,WhiteBritish,0.403
england,CON,2024_share,WhiteOther,-0.229
england,CON,2024_share,Asian,-0.316
england,CON,2024_share,Indian,-0.042
england,CON,2024_share,Pakistani,-0.336
england,CON,2024_share,Bangladeshi,-0.296
england,CON,2024_share,Chinese,-0.351
england,CON,2024_share,Black,-0.425
england,CON,2024_share,Arab,-0.322
england,CON,2024_share,Mixed,-0.36
england,CON,2024_share,OtherEthnicity,-0.356
england,CON,2024_share,Christian,0.388
england,CON,2024_share,NoReligion,0.147
england,CON,2024_share,Muslim,-0.459
england,CON,2024_share,Hindu,0.054
england,CON,2024_share,Jewish,0.035
england,CON,2024_share,Sikh,-0.074
england,CON,2024_share,Buddhist,-0.118
england,CON,2024_share,Veterans,0.456
england,CON,2024_share,Age0to17,-0.122
england,CON,2024_share,Age18to24,-0.517
england,CON,2024_share,Age65plus,0.617
england,CON,2024_share,NoQualifications,-0.273
england,CON,2024_share,Degrees,-0.052
england,CON,2024_share,PublicSector,-0.369
england,CON,2024_share,ManagerialProfessional,0.353
england,CON,2024_share,Intermediate,0.678
england,CON,2024_share,Routine,-0.107
england,CON,2024_share,SocialRent,-0.664
england,CON,2024_share,PrivateRent,-0.478
england,CON,2024_share,OwnerOccupation,0.669
england,GRN,2024_share,Superwealthy,0.046
england,GRN,2024_share,Rural,-0.178
england,GRN,2024_share,LGBT,0.642
england,GRN,2024_share,White,-0.274
england,GRN,2024_share,WhiteBritish,-0.298
england,GRN,2024_share,WhiteOther,0.288
england,GRN,2024_share,Asian,0.122
england,GRN,2024_share,Indian,0.005
england,GRN,2024_share,Pakistani,0.073
england,GRN,2024_share,Bangladeshi,0.123
england,GRN,2024_share,Chinese,0.39
england,GRN,2024_share,Black,0.363
england,GRN,2024_share,Arab,0.282
england,GRN,2024_share,Mixed,0.414
england,GRN,2024_share,OtherEthnicity,0.314
england,GRN,2024_share,Christian,-0.406
england,GRN,2024_share,NoReligion,0.092
england,GRN,2024_share,Muslim,0.202
england,GRN,2024_share,Hindu,-0.003
england,GRN,2024_share,Jewish,0.074
england,GRN,2024_share,Sikh,-0.024
england,GRN,2024_share,Buddhist,0.256
england,GRN,2024_share,Veterans,-0.352
england,GRN,2024_share,Age0to17,-0.202
england,GRN,2024_share,Age18to24,0.477
england,GRN,2024_share,Age65plus,-0.41
england,GRN,2024_share,NoQualifications,-0.143
england,GRN,2024_share,Degrees,0.301
england,GRN,2024_share,PublicSector,0.111
england,GRN,2024_share,ManagerialProfessional,0.032
england,GRN,2024_share,Intermediate,-0.317
england,GRN,2024_share,Routine,-0.248
england,GRN,2024_share,SocialRent,0.318
england,GRN,2024_share,PrivateRent,0.457
england,GRN,2024_share,OwnerOccupation,-0.463
england,LAB,2024_share,Superwealthy,-0.036
england,LAB,2024_share,Rural,-0.481
england,LAB,2024_share,LGBT,0.403
england,LAB,2024_share,White,-0.316
england,LAB,2024_share,WhiteBritish,-0.314
england,LAB,2024_share,WhiteOther,0.212
england,LAB,2024_share,Asian,0.165
england,LAB,2024_share,Indian,0.074
england,LAB,2024_share,Pakistani,0.108
england,LAB,2024_share,Bangladeshi,0.105
england,LAB,2024_share,Chinese,0.25
england,LAB,2024_share,Black,0.418
england,LAB,2024_share,Arab,0.28
england,LAB,2024_share,Mixed,0.336
england,LAB,2024_share,OtherEthnicity,0.358
england,LAB,2024_share,Christian,-0.176
england,LAB,2024_share,NoReligion,-0.15
england,LAB,2024_share,Muslim,0.224
england,LAB,2024_share,Hindu,0.047
england,LAB,2024_share,Jewish,0.084
england,LAB,2024_share,Sikh,0.113
england,LAB,2024_share,Buddhist,0.115
england,LAB,2024_share,Veterans,-0.388
england,LAB,2024_share,Age0to17,0.093
england,LAB,2024_share,Age18to24,0.345
england,LAB,2024_share,Age65plus,-0.518
england,LAB,2024_share,NoQualifications,0.286
england,LAB,2024_share,Degrees,-0.033
england,LAB,2024_share,PublicSector,0.319
england,LAB,2024_share,ManagerialProfessional,-0.33
england,LAB,2024_share,Intermediate,-0.563
england,LAB,2024_share,Routine,0.192
england,LAB,2024_share,SocialRent,0.542
england,LAB,2024_share,PrivateRent,0.351
england,LAB,2024_share,OwnerOccupation,-0.522
england,LD,2024_share,Superwealthy,0.152
england,LD,2024_share,Rural,0.272
england,LD,2024_share,LGBT,-0.093
england,LD,2024_share,White,0.198
england,LD,2024_share,WhiteBritish,0.16
england,LD,2024_share,WhiteOther,0.014
england,LD,2024_share,Asian,-0.17
england,LD,2024_share,Indian,-0.112
england,LD,2024_share,Pakistani,-0.174
england,LD,2024_share,Bangladeshi,-0.094
england,LD,2024_share,Chinese,0.033
england,LD,2024_share,Black,-0.207
england,LD,2024_share,Arab,-0.096
england,LD,2024_share,Mixed,-0.091
england,LD,2024_share,OtherEthnicity,-0.158
england,LD,2024_share,Christian,0.11
england,LD,2024_share,NoReligion,0.166
england,LD,2024_share,Muslim,-0.215
england,LD,2024_share,Hindu,-0.049
england,LD,2024_share,Jewish,-0.041
england,LD,2024_share,Sikh,-0.14
england,LD,2024_share,Buddhist,0.096
england,LD,2024_share,Veterans,0.189
england,LD,2024_share,Age0to17,-0.152
england,LD,2024_share,Age18to24,-0.166
england,LD,2024_share,Age65plus,0.266
england,LD,2024_share,NoQualifications,-0.485
england,LD,2024_share,Degrees,0.348
england,LD,2024_share,PublicSector,-0.184
england,LD,2024_share,ManagerialProfessional,0.475
england,LD,2024_share,Intermediate,0.307
england,LD,2024_share,Routine,-0.38
england,LD,2024_share,SocialRent,-0.303
england,LD,2024_share,PrivateRent,-0.132
england,LD,2024_share,OwnerOccupation,0.248
