Seat,County,Region,Superwealthy,Rural,LGBT,White,WhiteBritish,WhiteOther,Asian,Indian,Pakistani,Bangladeshi,Chinese,Black,Arab,Mixed,OtherEthnicity,Christian,NoReligion,Muslim,Hindu,Jewish,Sikh,Buddhist,Veterans,Age0to17,Age18to24,Age65plus,NoQualifications,Degrees,PublicSector,ManagerialProfessional,Intermediate,Routine,SocialRent,PrivateRent,OwnerOccupation,y2019_Turnout,y2024_Turnout,y2019_CON_share,y2024_CON_share,swing_CON,y2019_GRN_share,y2024_GRN_share,swing_GRN,y2019_LAB_share,y2024_LAB_share,swing_LAB,y2019_LD_share,y2024_LD_share,swing_LD,y2019_OTHER_share,y2024_OTHER_share,swing_OTHER,y2019_REF_share,y2024_REF_share,swing_REF
Aldershot,Hampshire,South East,1.0,0.9,3.0691713,79.3340407,73.1508133,6.183227400000002,13.2776973,1.9943796,1.0797922,0.2716512,0.4947628,2.3673678,0.16861109999999999,2.5002129,2.5206506,43.2053138,38.3862727,2.2302648,5.155411699999999,0.0673,0.2197054,4.2212382,12.2089623356652,20.8911837213223,9.601583515200717,20.53088362178345,17.66550631918964,29.943237055853476,9.0,34.1132,18.8981,29.966199999999997,15.069412900000001,19.9575509,63.1581227,67.93519314422652,61.80012730744748,56.46447605536598,29.006674357284112,-27.457801698081866,3.525555001725394,4.439271588661833,0.913716586936439,21.985353322341936,40.71357943309163,18.728226110749695,17.384302749127716,8.347066578773896,-9.03723617035382,0.0,0.5809162821357943,0.5809162821357943,0.6403128714389785,16.912491760052735,16.272178888613755
Aldridge-Brownhills,West Midlands,West Midlands,0.0,0.3,1.7361246000000001,85.3638852,83.18554759999999,2.178337600000002,8.6983462,6.0798684,1.4796376,0.1762745,0.3578907,2.07683439999999,0.0545,2.4026750999999997,1.4582862,53.6546803,31.8708202,2.2039185999999997,1.2873106,0.0278,5.2325706,0.2350277,7.011860732049479,20.4861074161177,8.258832976445381,28.8972162740899,21.935467103296823,27.151638012813017,14.000000000000002,31.3425,19.072300000000002,32.3743,13.416656,10.7537304,75.16898359999999,64.7000916063933,58.200644858883855,69.61180025781366,38.80658938377059,-30.805210874043063,1.8448468967266116,4.261134838316046,2.4162879415894345,21.518987341772153,28.480780964002438,6.961793622230285,5.608503624183766,4.283099450884686,-1.3254041732990798,0.7100441664377338,0.0,-0.7100441664377338,0.7058177130660805,24.168395363026235,23.462577649960153
Altrincham and Sale West,Greater Manchester,North West,2.0,0.8,2.263201,80.5613858,75.1503622,5.411023599999998,12.0814879,4.457854,3.6582345000000003,0.2397868,2.7615113,1.6517543,1.095885,3.2182951,2.48704459999999,50.5380286,31.6891919,6.405810300000001,2.9755063,2.0906821,0.40426460000000003,0.47065120000000005,5.33081470941785,24.0207215323749,7.912408006495922,25.531339012978837,11.493341389119651,48.6556906578053,5.0,48.1206,17.135,17.738699999999998,11.3755121,13.8090916,74.1800162,74.10018402251569,69.5006146073942,48.04521300878331,32.3097255694628,-15.735487439320508,2.8595949820134035,7.189224908652725,4.3296299266393214,36.835089385168814,40.42214102464433,3.5870516394755185,11.022040428756643,9.187203607245587,-1.8348368215110558,1.2380621952778335,1.2497084661432014,0.011646270865367958,0.0,9.641996423851356,9.641996423851356
Amber Valley,Derbyshire,East Midlands,0.0,18.9,2.4956673,97.6839642999999,95.42540819999999,2.2585560999999093,0.8037238999999999,0.28784940000000003,0.0664,0.0332,0.2037088,0.26123219999999997,0.00886,1.0672572,0.1837839,43.866253300000004,49.0179362,0.2424712,0.1284322,0.0421,0.15279009999999998,0.21811339999999999,6.7156608022171,18.905616676317198,7.696986525976158,27.49018207782925,21.68730918447612,24.324396389670298,19.0,27.690399999999997,17.5177,39.5891,14.6483892,14.786954999999999,69.9609047,64.60015297017083,59.500559597090096,63.842662632375195,25.216900613670028,-38.62576201870517,3.0454515556140236,5.356093202605158,2.3106416469911344,26.808305378324455,37.022407185347156,10.2141018070227,6.303580433686334,3.738449601467165,-2.565130832219169,0.0,0.0,0.0,0.0,28.66614939691049,28.66614939691049
Arundel and South Downs,West Sussex,South East,2.0,85.8,2.1526419000000003,96.7862856,92.4035523,4.382733299999996,1.0135964000000002,0.3231217,0.0278,0.07200000000000001,0.185229,0.340635699999999,0.0453,1.4725706,0.38694459999999997,54.239729999999994,38.1596279,0.2634395,0.1914053,0.22124800000000003,0.037,0.3663456,9.21096227576087,17.7512405696534,6.836464413596888,36.47422377004949,14.12810822050172,37.446641959906565,8.0,41.5707,23.4516,20.7847,11.6551496,14.3269594,72.9742522,75.50025987525987,70.20018723469741,60.43713966095861,40.191815856777495,-20.245323804181112,3.979003528095689,10.074899525027401,6.095895996931713,15.67507099216935,17.869930580928024,2.194859588758675,18.951897427071682,18.025210084033613,-0.9266873430380684,0.9568883917046725,0.33613445378151263,-0.6207539379231599,0.0,13.502009499451956,13.502009499451956
Ashfield,Nottinghamshire,East Midlands,0.0,5.4,2.5203357,95.738806,92.04070680000001,3.6980991999999926,1.4796293,0.6503825000000001,0.1473359,0.041,0.2630997,0.9713643,0.0779,1.3660138,0.44413480000000005,42.0580714,50.2488924,0.6293346,0.3241389,0.0305,0.21047980000000002,0.1852222,7.71955539269573,20.7957804178615,8.516195771642842,25.71022176246192,24.40929632020659,20.82117495158167,28.000000000000004,23.8283,16.3343,42.743700000000004,15.4398651,16.9154472,67.0241615,61.5006801746975,57.90153747876712,39.20463805909334,8.20169500025074,-31.0029430588426,1.3108570630282428,2.7581365026829148,1.447279439654672,25.579175300938324,28.97046286545309,3.3912875645147658,2.0722251973270622,1.5520786319642947,-0.5201465653627675,26.857435563109732,15.73642244621634,-11.121013116893392,4.975668816503295,42.78120455343263,37.805535736929336
Ashford,Kent,South East,0.5,24.0,2.6558577999999997,86.0152343,80.3540668,5.661167499999998,6.9689934,1.488541,0.3435815,0.3108149,0.5233298,2.9780181999999997,0.2640054,2.3573248,1.6804599,45.5048448,41.8283949,1.885503,2.4912231,0.10110939999999999,0.10579039999999999,1.1983336,9.06965761511216,22.887770767333,8.523884599008003,22.152663498164422,17.36282122279695,29.377525892236463,26.0,33.2917,18.5721,30.406100000000002,14.0731995,19.2774498,64.8264463,66.10017280557332,61.600094416323536,59.200477572613686,28.702501330494947,-30.49797624211874,4.598694909322958,9.270888770622673,4.672193861299714,23.77158854649128,32.489622139435866,8.718033592944586,10.654809691430453,5.204896221394359,-5.449913470036094,1.774429280141625,2.744012772751464,0.9695834926098388,0.0,21.588078765300693,21.588078765300693
Ashton-under-Lyne,Greater Manchester,North West,0.0,0.3,3.3278373,79.4948342,75.57528140000001,3.9195527999999915,13.630820199999999,2.8739079,7.584117999999999,1.5644055000000001,0.8506767000000001,3.2627601,0.3198784,2.405086,1.2065415,46.672331099999994,34.9980008,10.5627749,2.4470212,0.045,0.1209516,0.2479008,6.09605911330049,23.0058444850444,9.792277493415478,21.10893008000787,23.37415513964582,23.50253615435929,33.0,24.369699999999998,17.7111,35.8548,22.4990527,19.5481243,57.5667866,57.200326250743046,49.90009005966453,36.19885443603935,12.337497532500494,-23.861356903538855,3.4801943108490225,6.99641860071628,3.516224289867257,47.531237160741476,43.92149121570176,-3.6097459450397196,4.2874060468376145,3.9790192041961587,-0.30838684264145577,0.0,7.99469840106032,7.99469840106032,8.502308045532542,24.77087504582499,16.26856700029245
Aylesbury,Buckinghamshire,South East,1.0,24.2,2.5595368,78.4702641,70.5281044,7.942159699999996,12.886075199999999,2.9616231,6.8934017,0.28044979999999997,0.475029,3.6321448,0.3051148,3.5289173,1.4826386,45.7337572,35.587955900000004,8.715194,2.5615728,0.1891033,0.3096909,0.5188921,6.340657599963791,23.3582352587192,8.284727207465876,20.35512383345284,15.66395165829954,34.62497271588912,30.0,37.0006,19.316300000000002,26.790399999999998,15.4624245,16.4943088,66.2736757,76.5005946874587,63.100171838673816,51.692924267551135,28.936724068882658,-22.756200198668477,2.9384328358208958,5.186223468161795,2.247790632340899,22.94776119402985,30.198237885462554,7.250476691432702,21.887092316196792,20.90508610332399,-0.982006212872804,0.0,1.2655186223468162,1.2655186223468162,0.5337893864013267,13.508209851822187,12.97442046542086
Banbury,Oxfordshire,South East,1.0,43.7,2.7348898,89.7052894,79.947489,9.757800399999994,5.4290855,1.3560422,2.601949,0.1632364,0.408091,1.48289459999999,0.1543862,2.4082288,0.9745016000000001,50.6849046,37.665326,3.7180534,0.4474251,0.1406193,0.3618735,0.4965927,7.23206096098214,21.272169199623,7.880454103761285,25.04206858957632,16.96550556771331,34.822087076376214,11.0,35.1876,18.6192,31.6064,15.056798099999998,19.3960347,63.8608622,72.60023433258081,65.8007593761097,51.95237158039756,31.574577608036865,-20.377793972360696,2.912812438496359,5.427788617211175,2.514976178714816,24.794331824444008,38.33284901822409,13.53851719378008,20.340484156662075,9.03316866619619,-11.307315490465886,0.0,2.5883183195649466,2.5883183195649466,0.0,13.04329777076674,13.04329777076674
