Seat,County,Region,Superwealthy,LGBT,White,WhiteBritish,WhiteOther,Asian,Indian,Pakistani,Bangladeshi,Chinese,Black,Arab,Mixed,OtherEthnicity,Christian,NoReligion,Muslim,Hindu,Jewish,Sikh,Buddhist,Veterans,Age0to17,Age18to24,Age65plus,NoQualifications,Degrees,PublicSector,ManagerialProfessional,Intermediate,Routine,SocialRent,PrivateRent,OwnerOccupation,y2019_Turnout,y2024_Turnout,y2019_CON_share,y2024_CON_share,swing_CON,y2019_GRN_share,y2024_GRN_share,swing_GRN,y2019_LAB_share,y2024_LAB_share,swing_LAB,y2019_LD_share,y2024_LD_share,swing_LD,y2019_OTHER_share,y2024_OTHER_share,swing_OTHER,y2019_REF_share,y2024_REF_share,swing_REF,y2019_SNP_share,y2024_SNP_share,swing_SNP
Aberdeen North,Aberdeen City,Scotland,1.0,4.219518,87.6092044999999,76.5503011,11.05890339999991,6.0957962,2.3261214999999997,0.8789952,0.5020278,0.9933360999999999,3.3292734,0.7110571,1.5757597,1.3899559000000001,29.9036117,59.038081899999995,2.8889703,1.3712336,0.0465,0.0697,0.38680400000000004,5.58332249493692,19.1207066788913,10.774664007063201,22.52705928517705,15.403520068684271,31.8652071259927,32.0,29.925600000000003,17.7815,34.787099999999995,28.3086528,13.8737668,56.143512699999995,65.20076481835564,55.40003683338157,24.549643904482615,13.96447737094553,-10.585166533537084,1.2208989167514512,3.027496794415159,1.806597877663708,11.979571887405989,30.32958161181555,18.35000972440956,7.730364873222016,6.133352329391651,-1.597012543830365,0.0,3.0132497506767346,3.0132497506767346,1.6218804237237416,8.978012062497031,7.35613163877329,52.89763999441419,34.553830080258344,-18.343809914155848
Aberdeen South,Aberdeen City,Scotland,2.0,6.1100307,85.5167099,73.9028025,11.61390739999999,5.5959529,2.1564761000000003,0.7601645,0.3907888,1.0197981999999999,5.0775779,0.8806131,1.9860637,1.8236811,31.506152599999997,56.918628999999996,2.8795273999999997,1.3161769,0.0821,0.0776,0.5184399000000001,4.42934440669435,17.429952343934797,14.06774457634053,19.696070405239368,9.723558194973025,44.17318389025972,10.0,36.7203,16.0557,25.824399999999997,16.6687638,25.6026316,55.956211499999995,65.500026138324,59.90047822153289,34.35891296540165,24.38234976804402,-9.976563197357631,0.5347380182768666,3.471787679361312,2.9370496610844454,8.767309150405044,24.716797928579133,15.94948877817409,10.690769783311385,6.302729528535981,-4.3880402547754045,0.0,1.3982090840435861,1.3982090840435861,0.3890817670298097,6.902578487431223,6.513496720401413,45.259188315575244,32.82554752400475,-12.433640791570497
Aberdeenshire North and Moray East,Aberdeenshire; Moray,Scotland,0.0,2.1783619,98.1471043,92.170286,5.976818299999997,0.7910889000000001,0.1486006,0.0799,0.0348,0.1424516,0.2603241,0.0728,0.5349621,0.2664932,35.3533076,57.227026800000004,0.2274777,0.0676,0.0441,0.0297,0.18341670000000002,8.294655881182866,18.8914982592752,8.18591656613117,28.93009079941576,20.98275373217126,20.875503889347748,21.0,24.7858,20.5767,43.7746,22.5417173,8.1821196,67.5477954,64.20027699668444,54.500563730037534,48.31884247455928,32.76683775007856,-15.552004724480724,0.0,0.0,0.0,4.170752435117997,10.149785272860584,5.9790328377425865,4.419167156958881,7.285010998219336,2.865843841260455,0.0,0.0,0.0,0.0,14.564784749135853,14.564784749135853,43.09123793336384,35.23358122970567,-7.857656703658172
Airdrie and Shotts,North Lanarkshire,Scotland,0.0,2.6319232,96.6208544,93.22449239999999,3.3963620000000083,2.1570932000000003,0.2590256,1.4681699,0.0247,0.1966875,0.40734339999999997,0.11715269999999998,0.5341731,0.2805215,55.6390331,36.5287675,1.5756833000000001,0.1021077,0.0279,0.1021077,0.1021077,5.312576611914685,19.9343890919193,9.832236710398105,22.576641264163698,22.88132267727041,21.26198480072203,20.0,26.7967,20.055999999999997,37.7613,28.0440272,8.359277299999999,62.199397,65.80046008349663,52.2002818866474,17.264448185074883,4.625538646157203,-12.63890953891768,1.4588458716388277,0.0,-1.4588458716388277,33.111053562950495,51.46729940544373,18.356245842493237,3.5651085502179636,1.977308678339606,-1.5877998718783575,0.0,2.9427807778323243,2.9427807778323243,0.0,8.102874597719959,8.102874597719959,44.60054383011783,30.88419789450717,-13.716345935610658
Alloa and Grangemouth,Clackmannanshire; Falkirk,Scotland,0.0,3.0586193,96.89940820000001,93.4185716,3.4808366000000044,1.70330489999999,0.3294422,0.9152347999999999,0.0169,0.2012669,0.40253429999999996,0.22774940000000002,0.5847334,0.40994890000000006,35.2103128,57.2881248,1.1969451,0.14617560000000002,0.036000000000000004,0.0763,0.13770169999999998,7.779125935761543,19.128453850676,8.640228467579654,25.15739598883613,18.226494090015567,24.71343596027674,36.0,29.688799999999997,19.7112,37.9902,25.8557135,8.2720883,64.43894949999999,63.20058690807414,58.30055186076129,24.79959700381094,7.589621611125944,-17.209975392684996,1.4849533488107232,3.448945413946263,1.96399206513554,14.503482412720661,43.78291789034247,29.279435477621806,5.313417144859608,2.7936215140409213,-2.519795630818687,0.8366551316308205,4.228052717167059,3.3913975855362386,0.3876648123001446,9.232785611999708,8.845120799699563,52.6742301458671,28.924055241377637,-23.750174904489462
Angus and Perthshire Glens,Angus; Perth and Kinross,Scotland,0.0,2.4265908,97.9490443,93.08033420000001,4.868710099999995,0.847912,0.1375516,0.2073539,0.038,0.1683467,0.2135395,0.120101,0.7113674999999999,0.278182699999999,38.4419583,54.2964179,0.39823460000000005,0.08109999999999999,0.0369,0.0195,0.1785898,9.670069854916711,17.4071734400224,7.304932680984344,32.60935546139929,16.606524424208672,30.58899033687729,18.0,32.8256,22.068199999999997,34.8112,18.0739467,13.402837400000001,65.84694760000001,73.40048546839913,61.800715273970816,39.79698304065645,30.142772661992055,-9.654210378664395,0.0,0.0,0.0,4.2477938705855305,14.359635042662836,10.111841172077305,4.956938475958053,6.665540255132213,1.7086017791741606,0.0,1.5481118526653712,1.5481118526653712,0.5818168956797001,6.855622201571345,6.273805305891645,50.41646771712027,40.42831798597618,-9.988149731144091
Arbroath and Broughty Ferry,Angus; Dundee City,Scotland,0.0,2.6653899,96.7685982,92.7327683,4.0358298999999995,1.6237872,0.345437,0.5241806,0.0884,0.33740359999999997,0.304329,0.2861906,0.7440954,0.5593268,34.9490872,57.333654700000004,1.0915627,0.1355667,0.050199999999999995,0.0522,0.20184370000000001,9.956776108976598,19.0155277055253,8.370236994500946,29.898048566840206,16.65838434034301,29.5242712562875,22.0,33.356,20.4061,33.4529,20.2322738,10.5396438,67.7370765,67.9007360125057,57.90012468009712,30.26053257616453,15.506494095246731,-14.754038480917798,0.0,0.0,0.0,10.20834932085028,33.370356098556115,23.162006777705834,7.996316476095465,5.097808101185484,-2.898508374909981,0.5985726344869925,2.094430718317202,1.4958580838302096,0.0,8.613459664075073,8.613459664075073,50.93622899240273,35.3174513226194,-15.618777669783334
"Argyll, Bute and South Lochaber",Argyll and Bute; Highland,Scotland,0.0,2.5764461,97.7191943,93.3232403,4.3959540000000015,0.9095193999999999,0.22051079999999998,0.14042480000000002,0.055999999999999994,0.21283130000000003,0.2655691,0.1097069,0.767948,0.3378972,42.5695321,48.5512096,0.3774206,0.0998,0.0779,0.052700000000000004,0.3039114,9.691312092719114,15.880075512750699,7.421072651198157,32.92887029288699,15.464896853618152,34.10441725824465,27.0,34.3517,24.501,32.1271,19.0276462,11.4666487,67.1379606,70.70063694267516,62.20120902889468,34.51022138111854,20.841692300833667,-13.668529080284873,0.0,0.0,0.0,7.081041654345811,19.136462930765457,12.055421276419647,14.138427267530112,16.403637822656144,2.265210555126032,0.0,2.097543578083902,2.097543578083902,0.1064521852268023,6.7874816102715,6.681029425044698,44.16385751177874,34.733181757389325,-9.430675754389412
"Ayr, Carrick and Cumnock",East Ayrshire; South Ayrshire,Scotland,0.0,2.6821683,97.8454469,95.37759770000001,2.467849199999994,1.07394739999999,0.3376845,0.20814649999999998,0.0,0.2778977,0.20592639999999998,0.1306451,0.5126161,0.36204200000000003,40.5108277,51.752579600000004,0.4229219,0.1716044,0.0465,0.14171209999999998,0.16717590000000002,7.572325263108216,17.516514592492697,8.445271799541972,31.53383599619647,21.03502119116663,26.065791027541962,34.0,29.4628,20.979400000000002,35.7469,23.1535231,10.5243286,64.5877578,64.70032772315724,58.20063694267515,38.51090315934066,22.58891928864569,-15.921983870694966,0.0,2.1643541137385185,2.1643541137385185,13.347785027472527,36.47156537033418,23.123780342861657,4.631696428571429,2.640707445769005,-1.9909889828024236,0.0,1.1530193472737933,1.1530193472737933,0.0,8.657416454954074,8.657416454954074,43.50961538461539,26.324017979284736,-17.18559740533065
Bathgate and Linlithgow,Falkirk; West Lothian,Scotland,0.0,3.1793337,96.502409,90.4991266,6.003282399999998,1.5836491000000001,0.4467263,0.6340973,0.0254,0.2614725,0.6478446,0.0932,0.9188588,0.3472624,39.0604325,53.621823,0.8680096,0.2551101,0.0402,0.0593,0.152431,6.805708013172337,20.6838284379172,8.486099786959828,23.96307303858388,16.47080258722784,28.456903395411192,16.0,33.6604,20.0877,34.7341,25.077074,8.7911061,64.8846226,65.90043126910355,58.300532209779355,24.641548594785775,7.474147153215262,-17.16740144157051,2.179299828451617,3.304409841911328,1.125110013459711,18.794078403964672,47.00820159277309,28.21412318880842,8.219497214986129,5.161060263877332,-3.0584369511087965,1.2453141876866383,1.452513966480447,0.2071997787938087,1.9145646695046277,8.377510994888862,6.462946325384234,43.00569710062054,27.22215618685368,-15.783540913766856
