Seat,County,Region,Superwealthy,Rural,LGBT,White,WhiteBritish,WhiteOther,Asian,Indian,Pakistani,Bangladeshi,Chinese,Black,Arab,Mixed,OtherEthnicity,Christian,NoReligion,Muslim,Hindu,Jewish,Sikh,Buddhist,Veterans,Age0to17,Age18to24,Age65plus,NoQualifications,Degrees,PublicSector,ManagerialProfessional,Intermediate,Routine,SocialRent,PrivateRent,OwnerOccupation,y2019_Turnout,y2024_Turnout,y2019_CON_share,y2024_CON_share,swing_CON,y2019_GRN_share,y2024_GRN_share,swing_GRN,y2019_LAB_share,y2024_LAB_share,swing_LAB,y2019_LD_share,y2024_LD_share,swing_LD,y2019_OTHER_share,y2024_OTHER_share,swing_OTHER,y2019_PLAID_share,y2024_PLAID_share,swing_PLAID,y2019_REF_share,y2024_REF_share,swing_REF
Aberafan Maesteg,Bridgend; Neath Port Talbot,Wales,0.0,18.3,2.6370272,96.89543929999999,95.2987945,1.5966448000000018,1.5436633,0.3273128,0.1479929,0.4050901,0.2603379,0.2214635,0.0519,1.0715984,0.267948,40.0669727,52.481771499999994,0.8112341000000001,0.294896,0.0173,0.0961,0.2635701,7.5124963246104,20.3585271317829,8.971083262359567,26.683429992835013,27.011280690112798,23.70670205706702,26.0,22.609199999999998,14.965200000000001,42.1566,19.8750306,15.481499600000001,64.3053173,63.60044096382092,49.300241296104794,22.62791797042073,8.119144175639772,-14.508773794780957,1.5780113904959143,3.0597119284016223,1.481700537905708,52.92078427841433,49.889525940427916,-3.031258337986415,3.703036715215091,2.561879457418543,-1.1411572577965483,1.645543974967922,2.240246119423857,0.5947021444559351,8.984084820926096,13.198154104321075,4.214069283394979,8.540620849559913,20.931338274367224,12.390717424807312
Alyn and Deeside,Flintshire,Wales,0.0,22.6,2.3030216,97.2647426,91.6686261,5.596116500000003,1.114903,0.317423,0.0774,0.1028686,0.28901170000000004,0.2263175,0.0598,0.9943960999999999,0.3997561,50.9821402,41.043175,0.5525457,0.256679,0.0362,0.0196,0.2556994,9.48715019988578,20.215151897628,8.00111954828659,25.6583430685357,19.00764090157848,27.43778294090877,11.0,29.034599999999998,17.4586,37.5654,15.058823499999999,13.7658481,70.681896,69.20026437541308,57.300566508642895,41.9541547277937,18.187684365781713,-23.766470362011987,0.0,4.438606194690266,4.438606194690266,42.73925501432665,42.39260693215339,-0.34664808217326026,5.912129894937918,4.758941740412979,-1.1531881545249387,0.0,3.6297013274336285,3.6297013274336285,3.402101241642789,4.466261061946902,1.0641598203041132,5.992359121298949,22.126198377581122,16.133839256282172
Bangor Aberconwy,Conwy; Denbighshire; Gwynedd,Wales,0.0,43.2,3.7978096000000003,95.2343337,91.51890230000001,3.715431399999991,2.2804127,0.5668516,0.24278160000000001,0.2200208,0.6979970999999999,0.5581747,0.3544178,1.2615971,0.6654817000000001,48.2300789,42.302523199999996,1.3168733,0.3045608,0.048799999999999996,0.0303,0.3706755,8.94679209596336,17.4379788688363,12.33249473738251,29.27940647943725,16.027937192671622,34.7366123586129,31.0,30.2438,19.1791,28.9663,14.272559900000001,19.5883729,65.60151309999999,68.70041583287208,59.10058164278621,39.98388662796703,21.689870379260682,-18.29401624870635,0.0,3.2669227076332215,3.2669227076332215,38.436589749416406,33.624579932789246,-4.81200981662716,4.424979858284959,3.6581853096495442,-0.7667945486354149,0.0,1.2674027844455114,1.2674027844455114,16.214597062408327,21.87229956793087,5.657702505522543,0.9399467019232756,14.620739318290926,13.68079261636765
Blaenau Gwent and Rhymney,Blaenau Gwent; Caerphilly,Wales,0.0,23.2,2.425556,97.9470035,96.1482643,1.798739199999999,0.8835259999999999,0.2944946,0.1006367,0.034999999999999996,0.19915470000000002,0.1758553,0.0625,0.7849886,0.208688,35.4590621,57.4306931,0.403606,0.10275530000000001,0.0275,0.1610187,0.18008670000000002,6.82657260435038,20.0870165456941,8.610354936655826,25.63344152444761,28.73896888063168,20.8546214584301,22.0,19.8792,14.715200000000001,44.850899999999996,23.7572309,15.994920700000002,60.0032921,59.20060756075608,42.70057367925336,19.589490188625458,12.6194773076666,-6.970012880958858,0.9930156316814749,5.74493683577301,4.751921204091535,50.39910676105859,53.56259608314953,3.163489322090939,3.7440015204067087,4.237684646748212,0.49368312634150335,0.8979902123818122,10.988570282735111,10.0905800703533,6.383332541454839,12.846734843927546,6.463402302472707,17.993063144391126,0.0,-17.993063144391126
"Brecon, Radnor and Cwm Tawe",Neath Port Talbot; Powys,Wales,0.0,73.3,2.4048121,97.4200007,95.254959,2.165041700000003,1.1373304000000002,0.1651205,0.054299999999999994,0.053200000000000004,0.15425729999999999,0.213,0.0771,0.9320616,0.2976227,47.1397845,44.2752238,0.3193708,0.3095942,0.056499999999999995,0.0684,0.4910055,9.53249933968833,17.2091715944347,6.699832863261246,34.41841637940032,18.97622175850787,32.20496174356596,25.0,30.447999999999997,23.264599999999998,30.386200000000002,14.2695928,16.336918999999998,68.9853054,72.5008321313658,63.70068287876507,46.614125028693856,26.34699664862078,-20.267128380073075,0.42275614048511745,2.5522041763341066,2.129448035848989,17.530032902287857,21.27696141617255,3.7469285138846935,29.223735557425968,29.509323708859668,0.2855881514337,1.1286249904353813,1.3083268883732921,0.1797018979379108,3.2366669217231614,4.898169631348286,1.6615027096251245,1.844058458948657,14.108017530291312,12.263959071342654
Bridgend,Bridgend,Wales,0.0,13.1,2.5193946,96.0792647,93.4713543,2.607910400000002,1.8462411,0.5175787000000001,0.1504345,0.1336026,0.389236,0.37354160000000003,0.0642,1.3581182,0.34297720000000004,42.5947356,49.906369,0.6690934,0.2461759,0.0284,0.08,0.2945694,9.401561999556531,18.8454990972401,7.702869347436401,27.282319887107633,18.55756635423688,33.65339369968587,27.0,34.0544,17.130100000000002,32.047599999999996,12.690005200000002,14.2716366,72.7304082,66.00065000211957,56.45321944630163,43.95606748308641,16.34843138202736,-27.607636101059047,1.8583540292883445,4.253879247836806,2.3955252185484612,38.49019439924638,39.918789577995845,1.4285951787494682,5.251776997516486,3.4949485183931936,-1.7568284791232922,0.0,8.06786870981776,8.06786870981776,5.22608546715766,8.77120897181805,3.5451235046603893,5.217521623704719,19.144873592110986,13.927351968406267
Caerfyrddin,Carmarthenshire,Wales,0.0,63.0,2.3313322000000003,97.1516876,94.4834568,2.668230800000004,1.15085569999999,0.3271352,0.110821,0.0874,0.1427886,0.3047344,0.1896745,0.9515691,0.441153,49.5700632,41.970783499999996,0.6041491,0.2578555,0.061799999999999994,0.08310000000000001,0.32391770000000003,8.44691973227807,18.2475934819537,7.598378738905128,33.149915345544066,19.379756032274102,33.27469950161243,37.0,29.729899999999997,22.5415,30.2665,12.876197000000001,15.023451299999998,71.7192691,73.40002476848349,61.60038902096391,39.16426080761876,19.35137268660644,-19.81288812101232,0.0,3.0063152355056575,3.0063152355056575,25.083423943609162,24.087799315849487,-0.9956246277596748,1.2860410183345206,3.2036663450574507,1.9176253267229302,0.0,1.0920094728532586,1.0920094728532586,30.673765513104122,34.032102447153754,3.358336934049632,3.7925087173334338,15.22673449697395,11.434225779640517
Caerphilly,Caerphilly,Wales,0.0,13.0,2.4971579,97.51381839999999,95.89403560000001,1.619782799999991,1.0366423,0.30195489999999997,0.10065160000000001,0.0239,0.3029926,0.1379,0.037399999999999996,1.0874527999999999,0.2241762,36.9854627,56.043705200000005,0.34449480000000005,0.1743227,0.0477,0.10065059999999999,0.1826238,8.03966622324344,20.473366678698397,8.757278279926833,25.915215333341852,22.57532986754205,27.31801402495881,21.0,28.5621,17.4375,34.700900000000004,17.842544399999998,12.8745918,68.9273189,62.20017113362224,52.60015408320493,28.582839645876323,11.468849714913427,-17.113989930962894,0.3638864851671881,4.315530679499922,3.951644194332734,43.89491668330782,38.02374849610295,-5.871168187204873,0.71667887017684,4.67646597269446,3.9597871025176206,0.0,0.0,0.0,14.71077680889303,21.235026416278703,6.5242496073856735,11.730901506578801,20.28037872051054,8.54947721393174
Cardiff East,Cardiff,Wales,0.0,0.4,5.4023397,77.3252476,70.97398390000001,6.351263699999999,10.364781,2.24794,2.7127117999999997,1.7831682000000002,1.5424498,4.10517539999999,2.0257384,4.2653457999999995,3.9394500999999997,38.405488500000004,42.2098363,9.7844604,1.4100807,0.2518332,0.3833049,0.4592252,5.66094480173969,20.8587568654416,18.55746070851146,17.928356961384832,18.27973005488273,37.13922339218809,15.0,30.020200000000003,14.8923,25.845000000000002,19.753400600000003,24.905154099999997,54.774683,64.60036456031816,53.70055178850852,22.714349842884932,10.001789228842368,-12.712560614042564,0.6412859921763109,10.009457352452522,9.368171360276211,59.222761377482314,40.46980037318201,-18.752961004300303,12.2955900899938,17.217493545995964,4.921903456002164,1.0410209272995448,0.49842803465991875,-0.542592892639626,0.6284602723327847,9.073946272013906,8.445485999681122,3.456531497830316,12.72908519285331,9.272553695022994
Cardiff North,Cardiff; Rhondda Cynon Taf,Wales,0.0,2.4,3.6112228,87.7602351999999,84.23597579999999,3.5242593999999072,5.8333599,1.9543939,1.0767805,0.7956034000000001,0.8946544000000001,1.3462418,1.1279036,3.0567359,2.0033868999999997,44.6662122,42.9184595,4.1398628,1.1406723,0.17999400000000002,0.22366119999999998,0.40472030000000003,6.732135934875299,19.5861140023265,13.22902390741578,24.14598243743967,12.82686520701463,44.37843727301027,39.0,43.0788,17.0847,19.2695,10.365680300000001,15.309471499999999,73.78472670000001,76.90004638544903,66.40044758374711,35.73635050905701,20.310492279822213,-15.425858229234798,1.4988393134584803,6.656415225496598,5.1575759120381175,49.58964704162021,43.91759526467676,-5.672051776943448,6.547368805863751,6.673266909611779,0.12589810374802735,0.5264216125317589,0.0,-0.5264216125317589,3.4509861265970865,9.835064141722663,6.384078015125576,2.650386590871703,12.607166178669981,9.956779587798279
