Seat,County,Region,KMeans_label,GMM_label,Agglomerative_label,DBSCAN_outlier,Segment_1,Segment_2,Segment_3,Segment_4,Segment_5,Segment_6,Segment_7,Segment_8,Segment_9,Segment_10,Segment_11,Segment_12
Aldershot,Hampshire,South East,6,5,3,False,0.0007932113140367619,1.4741664712305904e-10,5.316470913259594e-29,5.291068103207851e-46,99.99920678853834,2.968097013088247e-78,5.019384683309072e-24,1.445016479446501e-37,1.212488539931485e-19,1.0289379737987967e-20,5.644511903516554e-98,0.0
Aldridge-Brownhills,West Midlands,West Midlands,9,10,3,False,4.589235972055877e-05,4.488433511362198e-05,7.136518449927614e-06,0.00034721949273910804,6.747396898775714e-06,0.00020188471385653854,6.962279881962515e-11,8.19388859899615e-12,1.839747464846035e-07,99.99934605110874,2.2071614849427072e-11,0.0
Altrincham and Sale West,Greater Manchester,North West,6,10,3,False,1.1139100311196934e-07,0.000361845661433021,0.12907583270701997,9.4787697940936e-11,0.009089818988148979,1.0601401118736688e-10,4.063722658602805e-05,6.603100504566135e-11,0.00012468773123925562,99.86130706602636,1.4338773167024808e-12,0.0
Amber Valley,Derbyshire,East Midlands,9,4,1,False,1.072688418132419e-09,1.0697330428095149e-07,4.5033983834869835e-06,99.92099123476721,1.9717634276990452e-08,0.017328665604213686,9.22487124782652e-15,1.9532742073648062e-07,3.3840302590828885e-10,0.0616752728007831,2.7947718304546436e-18,0.0
Arundel and South Downs,West Sussex,South East,1,6,1,False,1.1383062077791611e-09,2.167100425276848e-07,3.949735766269953e-05,1.587504343305148e-13,1.665416017323057e-05,99.99982366573036,3.5774936794885266e-13,3.6411115477019644e-11,3.5965413760871847e-09,4.4761319087095106e-05,7.519995089724164e-05,0.0
Ashfield,Nottinghamshire,East Midlands,9,5,1,False,2.0352694016898873e-15,6.933660516764285e-11,2.64359908778848e-11,1.7421458130467218e-31,99.99999999990408,3.969077400324533e-27,4.2928213991537436e-23,2.51999464005695e-20,2.8393404944264356e-22,5.08603463103663e-32,9.06229537973306e-56,0.0
Ashford,Kent,South East,9,4,1,False,4.843858997913813e-06,4.826626907777973e-06,1.6893799253799381e-06,99.94025802006605,4.034727821261361e-06,1.2082232013358013e-07,7.145370670111613e-11,4.377296878363603e-09,5.654133245580851e-07,0.05972589465574312,1.858226984297772e-18,0.0
Ashton-under-Lyne,Greater Manchester,North West,10,8,8,False,2.6221399090342718e-05,0.5522959788865747,0.059148826007926515,2.7052339466146753,0.00011326319976161651,1.900348886118549e-12,4.4284928232973517e-07,94.98789345775117,0.011326493651097766,1.6839613696383888,2.702892713585431e-21,0.0
Aylesbury,Buckinghamshire,South East,6,10,3,False,3.7753719251197835e-05,0.03655905642028191,0.10983598601389004,2.532717494946359,0.0003511649532279768,0.00040852224986504183,0.717624528900093,1.1010516255218923e-06,0.03757473818961923,96.56460257849874,0.0002870750569178913,0.0
Banbury,Oxfordshire,South East,1,6,3,False,7.32364892546289e-07,7.573600722097589e-05,0.00028405585590552307,3.652150847525342,3.185272504705043e-06,87.20156804700636,4.323068920307222e-09,1.114360876080355e-06,1.551874595354136e-05,9.14590074650508,1.2032773987806246e-08,0.0
