Seat,County,Region,KMeans_label,GMM_label,Agglomerative_label,DBSCAN_outlier,Segment_1,Segment_2,Segment_3,Segment_4,Segment_5,Segment_6,Segment_7,Segment_8
Aberdeen North,Aberdeen City,Scotland,8,5,8,False,0.0,0.0,1.0053381161604232e-28,9.196488134560154e-05,99.99990803099693,0.0,4.1217835247573305e-09,2.2016784031647886e-28
Aberdeen South,Aberdeen City,Scotland,8,5,5,False,0.0,0.0,3.123423403193373e-54,0.0008060088936277244,99.99919399110627,0.0,9.756560053781294e-21,1.649643244946375e-28
Aberdeenshire North and Moray East,Aberdeenshire; Moray,Scotland,3,1,1,False,100.0,0.0,1.1730223456341396e-43,6.291460388352095e-42,5.121355712598722e-41,0.0,1.9097563800577428e-40,7.804258245280689e-116
Airdrie and Shotts,North Lanarkshire,Scotland,1,7,1,False,0.0,0.0,2.8240937081396206e-10,2.896613289448648e-07,0.0016099655889708156,0.0,99.99838974446736,6.977220309628047e-48
Alloa and Grangemouth,Clackmannanshire; Falkirk,Scotland,5,7,1,False,0.0,0.0,1.2855559060145348e-06,2.6450143445030177e-06,0.1454501728331862,0.0,99.8545458965966,1.6745082137169868e-68
Angus and Perthshire Glens,Angus; Perth and Kinross,Scotland,3,3,4,False,0.0,0.0,99.99957265776682,8.395146552737268e-08,0.00014356398228601737,0.0,0.00028369429936320016,4.728694170072875e-75
Arbroath and Broughty Ferry,Angus; Dundee City,Scotland,5,3,1,False,0.0,0.0,91.880937020246,0.00035612744607408167,0.6206093237896959,0.0,7.498097528518157,2.4813865799068316e-61
"Argyll, Bute and South Lochaber",Argyll and Bute; Highland,Scotland,3,3,4,False,0.0,0.0,99.92802356991373,6.829415175174776e-06,0.0025008267764661165,0.0,0.06946877389453837,5.474463554345311e-67
"Ayr, Carrick and Cumnock",East Ayrshire; South Ayrshire,Scotland,5,3,1,False,0.0,0.0,93.89416481103959,0.00011674494519608201,0.03657123118659623,0.0,6.069147212828643,3.717779557772847e-60
Bathgate and Linlithgow,Falkirk; West Lothian,Scotland,5,7,1,False,0.0,0.0,4.2849826582003644e-09,3.9668763395651e-08,0.005260866437865389,0.0,99.99473908960834,1.5992589787221717e-94
