Seat,County,Region,KMeans_label,GMM_label,Agglomerative_label,DBSCAN_outlier,Segment_1,Segment_2,Segment_3
Aberafan Maesteg,Bridgend; Neath Port Talbot,Wales,2,1,3,False,99.97717243825464,0.022827561745362813,0.0
Alyn and Deeside,Flintshire,Wales,3,2,1,False,0.002100001397849326,99.99789999860222,0.0
Bangor Aberconwy,Conwy; Denbighshire; Gwynedd,Wales,3,2,1,False,0.038225247928097617,99.96177475207185,0.0
Blaenau Gwent and Rhymney,Blaenau Gwent; Caerphilly,Wales,2,3,3,True,1.9565717550008896e-41,1.926821934821654e-28,100.0
"Brecon, Radnor and Cwm Tawe",Neath Port Talbot; Powys,Wales,3,2,1,False,6.396004748642714e-13,99.99999999999929,0.0
Bridgend,Bridgend,Wales,3,2,1,False,0.0003897579113226617,99.9996102420887,0.0
Caerfyrddin,Carmarthenshire,Wales,3,2,1,False,1.2181441364802771e-05,99.99998781855858,0.0
Caerphilly,Caerphilly,Wales,2,1,3,False,99.82884908480106,0.17115091519900708,0.0
Cardiff East,Cardiff,Wales,1,2,2,True,1.855411770817507e-116,100.0,0.0
Cardiff North,Cardiff; Rhondda Cynon Taf,Wales,1,2,2,False,6.170970392438506e-31,100.0,0.0
Cardiff South and Penarth,Cardiff; Vale of Glamorgan,Wales,1,2,2,True,8.378124676859537e-162,100.0,0.0
Cardiff West,Cardiff; Rhondda Cynon Taf,Wales,1,2,2,False,4.812703025640059e-47,100.0,0.0
Ceredigion Preseli,Ceredigion; Pembrokeshire,Wales,3,2,1,False,1.1742850928859503e-13,99.99999999999983,0.0
Clwyd East,Denbighshire; Flintshire; Wrexham,Wales,3,2,1,False,6.988522905408278e-06,99.99999301147706,0.0
Clwyd North,Conwy; Denbighshire,Wales,3,2,1,False,1.1573669223255192,98.84263307767446,0.0
Dwyfor Meirionnydd,Denbighshire; Gwynedd,Wales,3,2,1,False,3.6372546544180086e-13,99.99999999999964,0.0
Gower,Swansea,Wales,3,2,1,False,0.03339073457020941,99.96660926542985,0.0
Llanelli,Carmarthenshire,Wales,2,1,3,False,87.90990461067756,12.090095389322435,0.0
Merthyr Tydfil and Aberdare,Merthyr Tydfil; Rhondda Cynon Taf,Wales,2,1,3,False,99.99600614641597,0.003993853584011732,0.0
Mid and South Pembrokeshire,Pembrokeshire,Wales,3,2,1,False,6.17931245604527e-05,99.99993820687551,0.0
Monmouthshire,Monmouthshire,Wales,3,2,1,False,1.1095045299989944e-12,99.99999999999893,0.0
Montgomeryshire and Glyndwr,Powys; Wrexham,Wales,3,2,1,False,1.1291487226265166e-08,99.9999999887086,0.0
Neath and Swansea East,Neath Port Talbot; Swansea,Wales,2,1,3,False,99.50703681563463,0.4929631843653571,0.0
Newport East,Newport,Wales,1,2,2,False,2.1575973991930044e-26,100.0,0.0
Newport West and Islwyn,Caerphilly; Newport,Wales,2,2,1,False,0.16675857032384778,99.83324142967612,0.0
Pontypridd,Rhondda Cynon Taf,Wales,2,1,3,False,99.76915259992838,0.23084740007165358,0.0
Rhondda and Ogmore,Bridgend; Rhondda Cynon Taf,Wales,2,1,3,False,99.9992003326878,0.0007996673121583822,0.0
Swansea West,Swansea,Wales,1,2,2,False,4.239932551328284e-39,100.0,0.0
Torfaen,Torfaen,Wales,2,1,3,False,91.3393193420811,8.660680657918839,0.0
Vale of Glamorgan,Vale of Glamorgan,Wales,3,2,1,False,0.00023976226822032442,99.99976023773183,0.0
Wrexham,Wrexham,Wales,3,2,1,False,0.019564717727785536,99.98043528227221,0.0
Ynys Môn,Isle of Anglesey,Wales,3,2,1,False,1.5275322613467436e-10,99.99999999984723,0.0
