Nation,Party,Target,CV_R2
england,CON,2024_share,0.716
england,GRN,2024_share,0.429
england,LAB,2024_share,0.551
england,LD,2024_share,0.386
england,OTHER,2024_share,0.354
england,REF,2024_share,0.607
england,CON,swing,0.651
england,GRN,swing,0.353
england,LAB,swing,0.677
england,LD,swing,0.136
england,OTHER,swing,0.429
england,REF,swing,0.467
scotland,CON,2024_share,0.412
scotland,GRN,2024_share,0.478
scotland,LAB,2024_share,0.391
scotland,LD,2024_share,-0.103
scotland,OTHER,2024_share,-0.152
scotland,REF,2024_share,0.662
scotland,SNP,2024_share,-0.075
scotland,CON,swing,0.179
scotland,GRN,swing,0.385
scotland,LAB,swing,-0.146
scotland,LD,swing,-0.033
scotland,OTHER,swing,-0.182
scotland,REF,swing,0.428
scotland,SNP,swing,-0.256
wales,CON,2024_share,0.547
wales,GRN,2024_share,0.755
wales,LAB,2024_share,0.521
wales,LD,2024_share,-0.048
wales,OTHER,2024_share,-0.166
wales,PLAID,2024_share,0.251
wales,REF,2024_share,-0.071
wales,CON,swing,-0.026
wales,GRN,swing,0.49
wales,LAB,swing,0.115
wales,LD,swing,-0.405
wales,OTHER,swing,-0.317
wales,PLAID,swing,-0.001
wales,REF,swing,-0.255
