Seat,Nation,Region,KMeans_label,GMM_label,Agglomerative_label,DBSCAN_outlier,DominantHandTribe,Segment_1,Segment_2,Segment_3,Segment_4,Segment_5,Segment_6
Aldershot,england,South East,5,3,5,True,Average,7.196138494473122e-82,1.2314053934901864e-16,100.0,2.60318948039479e-54,3.694150534956362e-152,7.001850604149829e-103
Aldridge-Brownhills,england,West Midlands,6,2,4,False,Average,0.03694559300833027,99.91074156614292,0.0036340056380430377,0.04834097735207516,0.00033785782906892826,2.962922948133695e-11
Altrincham and Sale West,england,North West,5,2,6,False,Liberal,2.5724910466673337e-21,99.98555155876794,0.014386732031681275,6.112723077782213e-05,5.819695425252453e-07,1.1280505015378969e-33
Amber Valley,england,East Midlands,6,1,2,False,Reforms,99.42322501097983,0.01179908605749677,1.4441157099645066e-08,0.5634916867664935,0.00024269898546362285,0.0012415027694848049
Arundel and South Downs,england,South East,1,5,2,False,Liberal,3.2044543661163394e-06,0.06270701312680983,7.583957122478281e-07,0.0068414827657422685,98.77733059623833,1.1531169450189482
Ashfield,england,East Midlands,6,1,2,False,Reforms,99.40007381814489,0.03377544203004601,1.5965479092031113e-07,0.5661505562213416,2.8849782982495037e-10,2.3660477204778445e-08
Ashford,england,South East,5,4,4,False,Average,7.060771962947622e-05,3.0177382131488604,0.0009308384182583364,96.98126033632198,7.894410805904332e-11,4.312423088859039e-09
Ashton-under-Lyne,england,North West,6,4,4,False,Average,4.6617515244152144e-05,16.70111284478894,0.0004815882642982186,83.29835890401459,4.5416861761226115e-08,3.045892170144517e-17
Aylesbury,england,South East,5,2,4,False,Average,3.341448349063307e-11,51.22096264151559,0.0018934087431665561,48.77707727238476,6.667732302079295e-05,6.953177764095183e-22
Banbury,england,South East,5,4,4,False,Liberal,0.0018326751827950675,0.17581551545435295,1.0500775937443379e-06,71.55056138282599,28.271788025753413,1.3507059425438134e-06
Barking,england,London,4,3,1,False,Progressives,6.423939798910828e-93,0.2921688154067666,99.70783118296515,1.6281650537739192e-09,4.539840126949909e-61,2.2687284216896465e-126
Barnsley North,england,Yorkshire and the Humber,6,1,2,False,Average,99.69195086160528,0.02935007707813572,1.1114540636763428e-07,0.27869887099409474,1.1992622873154618e-09,7.797776382568618e-08
Barnsley South,england,Yorkshire and the Humber,6,1,2,False,Reforms,91.22588501640641,0.21184099125105424,4.6784037208002995e-06,8.562269306040445,4.863203015154806e-12,7.893529941444373e-09
Barrow and Furness,england,North West,1,1,2,False,Reforms,71.47542785281841,0.10111021785024227,1.3541780155699494e-07,0.45423184802518213,0.7959544050434728,27.173275540844806
Basildon and Billericay,england,Eastern,6,4,2,False,Average,7.307592704152432e-05,0.5765098465184183,1.094732952219378e-05,99.42195263322635,0.0014534969987065008,1.0825761092619906e-16
Basingstoke,england,South East,5,4,4,False,Average,1.7065243670079483e-07,2.34444604190349,0.000318397257630414,97.6552352552644,1.3492206044596375e-07,3.997074964499305e-14
Bassetlaw,england,East Midlands,6,1,2,False,Reforms,99.34027148642825,0.02380418082106644,8.923859229235534e-08,0.6216810002871984,0.00028175666652705255,0.013961486558330656
Bath,england,South West,3,2,5,False,Left,1.0688133044427936e-17,99.99444901334081,0.00548282951315894,6.81571458988046e-05,3.902939200628968e-18,8.071366293901684e-34
Battersea,england,London,2,2,5,False,Progressives,3.7625262688040125e-67,92.52072910947861,7.4792708114169795,7.910424497091352e-08,2.9699799312422255e-36,3.223467327719579e-93
Beaconsfield,england,South East,5,2,6,False,Liberal,4.498534831372207e-16,99.97739609261222,0.02241513683104385,0.00018876925348166476,1.303277725038578e-09,2.430136570953699e-27
Beckenham and Penge,england,London,5,2,5,False,Liberal,2.1967216458752983e-35,87.48359330922534,0.14313701572007898,12.373269675044117,1.0544025005133685e-11,2.8026543285951414e-46
Bedford,england,Eastern,5,4,4,False,Average,1.6826668615867062e-18,6.550372387478198,0.0009732528088297392,93.44865435837383,1.3392207071941017e-09,3.4373599194307118e-31
Bermondsey and Old Southwark,england,London,2,3,1,False,Progressives,1.680468664731708e-101,22.653753840419313,77.34624615955431,2.6334866364056898e-11,9.200403665913152e-60,1.46622455700021e-132
Bethnal Green and Stepney,england,London,2,3,1,True,Muslim,1.650760090768592e-299,2.1371714334753263e-44,100.0,2.677142950519931e-142,0.0,0.0
Beverley and Holderness,england,Yorkshire and the Humber,1,6,2,False,Average,0.020269021014661288,0.008875381096333596,3.4375317353568526e-08,0.0019559195005708642,0.0003765420546752419,99.96852310195847
Bexhill and Battle,england,South East,1,6,2,False,Average,8.342780790739445e-09,4.161947837160308e-05,7.191735287210462e-09,1.0662410802770855e-05,2.486713861958122e-07,99.99994745390501
Bexleyheath and Crayford,england,London,5,4,4,False,Average,2.044856708348232e-15,6.544444476073025,0.000601758654258509,93.45495068060563,3.084667152005014e-06,8.374635043779651e-23
Bicester and Woodstock,england,South East,5,5,6,False,Liberal,3.619161874121333e-06,0.16251116314349642,5.764234692132196e-07,9.996980671464756,89.84050396339617,6.4102923524325005e-09
Birkenhead,england,North West,6,1,2,False,Average,92.10093487748377,1.9755894203210778,1.3970788537411616e-05,5.92342989707487,3.159302575615655e-05,2.4130599852175686e-07
Birmingham Edgbaston,england,West Midlands,4,2,5,False,Progressives,3.2681313921820153e-50,99.69921304132758,0.3006751979618205,0.00011176071076404782,2.6693319270039095e-28,1.5787114175972745e-73
Birmingham Erdington,england,West Midlands,4,4,4,False,Progressives,8.120830886987337e-28,31.89748496886126,0.08562539267572469,68.016889638463,1.143069027220388e-21,5.204411209968274e-48
Birmingham Hall Green and Moseley,england,West Midlands,4,3,3,False,Muslim,9.261577614187528e-183,3.729727897113727e-11,99.9999999999627,9.109599688837854e-39,2.567406896245954e-141,5.81081899180043e-230
Birmingham Hodge Hill and Solihull North,england,West Midlands,4,3,3,False,Muslim,4.955819399229566e-91,0.09560266722085772,99.9043973327791,1.2772565242080306e-15,1.6221926747867338e-77,5.507770698720208e-134
Birmingham Ladywood,england,West Midlands,4,3,1,True,Muslim,5.486348495794418e-175,0.0012110550172955733,99.99878894498283,4.859121787003251e-22,4.392213674942297e-107,2.973459089672223e-214
Birmingham Northfield,england,West Midlands,6,4,4,False,Average,8.241639326126237e-13,2.681662489968624,0.0010105199303499937,97.31732699009858,1.7149077005527126e-12,2.2002727548505405e-31
