embedding,algorithm,k,distortion,silhouette,davies_bouldin,calinski_harabasz,n_noise,eps_percentile,degenerate
PCA,KMeans,2,13172.574071255549,0.45318853170348666,1.3095983271819347,309.3180566650917,0,,
PCA,HAC,2,13735.558432078096,0.4404309393465195,1.3735721571049349,270.8178836757168,0,,
PCA,GMM,2,14052.498071796861,0.42860354528300315,1.4837072256258759,250.5008628837051,0,,
PCA,KMeans,3,11325.209306127848,0.4544809132109792,1.4830119519302822,230.90257428114725,0,,
PCA,HAC,3,12178.933736645158,0.4337287941778946,1.3660303274447498,192.67069682788267,0,,
PCA,GMM,3,12713.799065734784,0.13901898857587347,1.8333098795083853,171.33419306052645,0,,
PCA,KMeans,4,10108.6902899567,0.24894974267040554,1.5753752934349554,197.37799482969518,0,,
PCA,HAC,4,10831.034733962097,0.23690069934631533,1.598568777102961,170.25356254517698,0,,
PCA,GMM,4,12734.834245662525,0.10799393769423611,2.0775012325152544,113.50705661656427,0,,
PCA,KMeans,5,9209.622812204549,0.18676316443363544,1.488308646179234,177.52852460236628,0,,
PCA,HAC,5,9986.120119403218,0.24709083332756498,1.7751728967360954,151.53580960350104,0,,
PCA,GMM,5,11604.642889867762,0.059091220065381186,1.7177385234569402,108.53857070612644,0,,
PCA,KMeans,6,8434.18521609122,0.19765344803221646,1.456115784272906,166.3439044795168,0,,
PCA,HAC,6,9175.907520214809,0.1788139106999578,1.6791975421300895,142.77733996180112,0,,
PCA,GMM,6,11408.953499280029,0.05847088619742724,1.9883458346008214,90.3268043784931,0,,
PCA,KMeans,7,7789.923711109939,0.2006498350165185,1.430158186937317,158.45970474199058,0,,
PCA,HAC,7,8594.045517931023,0.1855001203979878,1.573023867211815,133.88645901558954,0,,
PCA,GMM,7,10376.411317444079,0.07823221686095584,1.8422305553342095,92.99585274500562,0,,
PCA,KMeans,8,7316.624011097627,0.20795644001775845,1.3659873117040742,150.14385506576554,0,,
PCA,HAC,8,8097.415652581314,0.14250341798758182,1.6167271036885722,127.07068297893487,0,,
PCA,GMM,8,9077.064004782398,0.09209379118193302,1.7019701883395315,103.73568851461472,0,,
PCA,KMeans,9,6904.729228147922,0.19463736645262136,1.4570193704428789,143.63542904905265,0,,
PCA,HAC,9,7635.661463564714,0.14513687934756986,1.5183910708089552,122.43109543034231,0,,
PCA,GMM,9,9078.263723908978,0.09676905002905525,1.5773368432900874,90.60099720709714,0,,
PCA,KMeans,10,6493.979975948976,0.21025794264668138,1.247424320454103,139.90497006255077,0,,
PCA,HAC,10,7180.25293963766,0.1513094887889595,1.4909959655588192,119.92766749514536,0,,
PCA,GMM,10,8044.982600025074,0.11384129617593938,1.5133967339553778,99.60848882796836,0,,
PCA,KMeans,11,6146.6306487469765,0.20712645680943526,1.2415842961551211,136.32539516190414,0,,
PCA,HAC,11,6750.443580568804,0.15664675687825774,1.382584974484801,118.57666233114726,0,,
PCA,GMM,11,8023.965042283962,0.0992349479917103,1.94966030422858,89.90061428043393,0,,
PCA,KMeans,12,5922.522511020982,0.1963450782512654,1.3303323335890518,130.547447139913,0,,
PCA,HAC,12,6448.588854071153,0.15951929228974246,1.3089955112329033,115.29951733707243,0,,
PCA,GMM,12,7056.626522342403,0.1368523644555374,1.571014889393636,100.50807791856386,0,,
PCA,KMeans,13,5616.061954593808,0.20231948216798398,1.2534184507411217,128.80991695148677,0,,
PCA,HAC,13,6164.393615491541,0.164164281227089,1.3015523176644495,112.7636783896216,0,,
PCA,GMM,13,6750.882574985588,0.13234278090624685,1.4457085109172474,98.4858848077124,0,,
PCA,KMeans,14,5457.117735635466,0.20682345397144827,1.2441359806661132,123.55151626320367,0,,
PCA,HAC,14,5925.04616530938,0.1649292094149684,1.3098533415782871,110.0397456521307,0,,
PCA,GMM,14,6298.907475130144,0.13983914152564755,1.472822689532509,100.68694992174643,0,,
PCA,KMeans,15,5212.085840471356,0.1921594947462468,1.2904214813627741,121.99748307439252,0,,
PCA,HAC,15,5690.9203276427315,0.16350056482764141,1.300399220592659,108.02443169344419,0,,
PCA,GMM,15,6554.321000791383,0.1047398747150417,1.5923669793013886,87.98884476995376,0,,
PCA,KMeans,16,5004.2204549626185,0.17660682900443642,1.2659999795526735,120.10763239692804,0,,
PCA,HAC,16,5465.693030383243,0.16254498085880123,1.332058733742637,106.49956504535277,0,,
PCA,GMM,16,6080.443590456539,0.12059242166096042,1.537984893594437,91.58018914073087,0,,
PCA,KMeans,17,4881.925488121169,0.1957297669664974,1.3014017229618766,116.19712923076834,0,,
PCA,HAC,17,5271.231666741922,0.16591188616409377,1.3141146946150266,104.7766073500679,0,,
PCA,GMM,17,5788.703426985961,0.13127461983929659,1.6135554619820103,91.97421435188218,0,,
PCA,KMeans,18,4708.714520021132,0.1895334384104754,1.3293729520570758,114.52913518881765,0,,
PCA,HAC,18,5097.375442766757,0.16758118452565188,1.344672998131059,103.04273045869103,0,,
PCA,GMM,18,5944.490438275344,0.12327065450259715,1.6234315225436589,83.21178888349955,0,,
PCA,KMeans,19,4559.7812495851285,0.19019938405072864,1.2739304863825236,112.62979121364812,0,,
PCA,HAC,19,4943.7545594189305,0.1686350594547801,1.3149354260851567,101.23698086553287,0,,
PCA,GMM,19,5465.038245798304,0.10446990594288907,1.602232304655944,88.33207719364671,0,,
PCA,KMeans,20,4418.123749051875,0.18045575903196517,1.3145806339025485,110.97618551824212,0,,
PCA,HAC,20,4795.511681148776,0.16983549735580702,1.323959349540051,99.70795374743447,0,,
