Seat,Labour,Conservative,Reform,LibDem,Green,Oth,SNP,Plaid,Restore
Aldershot,29.2770967077492,27.348099409927226,24.49484555977224,6.909929215007295,7.702928642759948,0.51,0.0,0.0,3.6571004647840972
Aldridge-Brownhills,20.91576260063944,32.32062990318142,31.165374557559335,3.866062268164354,6.836186804493063,0.0,0.0,0.0,4.895983865962392
Altrincham and Sale West,29.283237344930928,32.93760739021864,16.291592212800417,8.012234784651188,10.179593777860822,1.02,0.0,0.0,2.1757344895380033
Amber Valley,25.516501738097446,20.710543534406423,36.933585836703394,3.0788691871467,7.539765099896016,0.0,0.0,0.0,6.220734603750026
Arundel and South Downs,13.032871830884474,37.618954303804145,19.64885598444676,14.049662768508492,12.290644355525464,0.24220382499999993,0.0,0.0,3.1168069318306553
Ashfield,23.429110540424176,8.502309268915166,43.415552897122595,1.5262886352120857,5.300312868471973,10.80186080808205,0.0,0.0,7.024564981771968
Ashford,23.905395291594523,25.578203283303075,27.662826521204885,4.529741371727162,11.97267381518148,2.00992605,0.0,0.0,4.341233666988881
Ashton-under-Lyne,32.443057326922286,13.126795696028148,28.825451744914872,3.5482270808571497,10.30860907588347,6.8,0.0,0.0,4.947859075394074
Aylesbury,22.127970875371666,26.80558062466359,21.987633362683056,16.472338543980857,8.458182292744231,1.105,0.0,0.0,3.043294300556596
Banbury,26.538265339666832,24.821028688955888,25.573650055948743,7.582880702432052,9.639948583310733,2.21,0.0,0.0,3.534226629685749
Barking,37.95962415101133,11.870467036484335,14.059360435808138,3.8288894318408566,19.60766603080918,11.135,0.0,0.0,1.538992914046178
Barnsley North,34.13506291692468,8.295391155252723,37.520993005526584,3.6783606414281893,7.279335388624311,2.74894737,0.0,0.0,6.341909522243521
Barnsley South,31.8585702600386,9.409563861222127,38.74098653690549,3.0883067625739145,7.433895563931371,2.51018166,0.0,0.0,6.858495355328505
Barrow and Furness,28.09930435390536,19.662471625383873,34.82509250214946,3.7359657607179533,8.396007551044434,0.5000671299999957,0.0,0.0,4.781091076798924
Basildon and Billericay,22.461451297563602,25.323399869673153,34.369093103481575,4.6679268799558296,7.519780639867489,1.105,0.0,0.0,4.453348209458359
Basingstoke,29.751756715263006,23.616600365399382,25.75831254603747,5.723519003347095,10.779669918478644,1.02,0.0,0.0,3.350141451474428
Bassetlaw,27.238062149968606,19.656597310293865,35.33183692394294,3.8914610183315888,8.390709376321759,0.0,0.0,0.0,5.391333221141254
Bath,14.442792790453714,16.61442851586933,14.813532913263542,29.296048644879168,19.045777330638458,3.675724285,0.0,0.0,2.111695519895796
Battersea,39.342776690510675,24.06874074859021,5.973610947546854,9.931643336511529,17.170579972977794,2.295,0.0,0.0,1.2176483038629382
Beaconsfield,12.574691618854825,35.25935742632831,18.64907972034566,21.503,7.759,1.7,0.0,0.0,2.5548712344711983
Beckenham and Penge,37.279686381933736,25.3644141662903,15.422413386771623,7.744876899472757,12.293874726518645,0.0,0.0,0.0,1.8947344390129448
Bedford,33.56404583211577,18.351249800702917,21.597008177851695,8.504059091819101,10.138177275457302,5.1,0.0,0.0,2.7454598220532236
Bermondsey and Old Southwark,35.383462302115404,10.83906621141806,7.836450535769172,17.55016546435832,25.102306022108213,2.125,0.0,0.0,1.1635494642308204
Bethnal Green and Stepney,33.8924919354839,5.883926463484352,3.223279648910157,5.7048414844438335,21.856033918041017,28.645000000000003,0.0,0.0,0.7944265496367189
Beverley and Holderness,24.29227275915579,27.518200558454684,30.652725468423945,6.024660603327688,5.657981809983064,1.4599991049999999,0.0,0.0,4.394159695654836
Bexhill and Battle,21.506021772880562,28.799467124812022,27.03447845634189,5.897981576722912,8.780711143423957,4.17054184023433,0.0,0.0,3.8107980855843304
Bexleyheath and Crayford,26.841744853211218,27.75187336535786,28.51442556130771,4.880384792164609,8.741154376493824,0.0,0.0,0.0,3.270417051464799
Bicester and Woodstock,12.524437230362265,24.044258415455662,21.913930276086617,28.973012727610005,9.013491488100982,0.51,0.0,0.0,3.020869862384467
Birkenhead,35.74336638345163,4.8430981758705345,27.694850788224088,4.963039248659094,22.541686463794658,0.68,0.0,0.0,3.5339589399999998
Birmingham Edgbaston,36.68235494094033,22.5550903721606,12.2496515606557,5.7427950800318435,13.103405903263644,7.565,0.0,0.0,2.1017021429478797
Birmingham Erdington,33.828112362310556,16.39800509164362,25.04349561137771,3.604832869798038,11.540345695474459,5.779999999999999,0.0,0.0,3.805208369395597
Birmingham Hall Green and Moseley,32.74616924211305,10.371333683751363,4.769092490822611,7.394574508704028,14.832819797850883,28.645000000000003,0.0,0.0,1.1410102767580679
Birmingham Hodge Hill and Solihull North,28.597005253293595,14.09364474533034,19.158173379851114,2.826396340344398,9.606550735245396,22.61,0.0,0.0,3.1082295459351466
Birmingham Ladywood,37.88816985451049,6.1,3.2307405440674493,1.8922321525531762,21.899597992936336,28.220000000000002,0.0,0.0,0.7692594559325511
Birmingham Northfield,28.758155536735757,22.98691864238207,27.20526703716513,4.399269653079026,10.737808959237077,1.53,0.0,0.0,4.382580171400942
Birmingham Perry Barr,33.33480932238531,11.990801880710125,5.49659797936044,4.107015874537141,11.682372922367426,32.385,0.0,0.0,1.0034020206395513
Birmingham Selly Oak,32.53529865926725,16.110111337566227,16.938682195532884,5.415877763629526,19.781228744137067,6.29,0.0,0.0,2.8288012998670498
Birmingham Yardley,31.24159948016901,12.01941117359304,12.046902860649139,8.468156693272388,8.89026208070011,24.905,0.0,0.0,2.42866771161631
Bishop Auckland,26.741753607846498,21.86075792231355,32.739472262517715,3.5978943946666737,8.781488263666356,0.6547371150000001,0.0,0.0,5.523896433989211
Blackburn,22.069104581929786,8.161782644626145,13.89326371015257,1.860547387470605,11.849561274374047,39.525,0.0,0.0,2.6407404014468416
Blackley and Middleton South,42.17832911140343,11.02032885483131,23.30581948824699,5.05539764551772,14.815972072780161,0.0,0.0,0.0,3.624152827220386
Blackpool North and Fleetwood,28.3074438192439,20.173914497335684,37.56344221382079,2.76567298231879,4.9290189469563686,0.90520867,0.0,0.0,5.255298870324474
Blackpool South,33.87485861335007,14.073979109378797,36.43158032292338,2.743555728411828,5.872667185235484,1.105,0.0,0.0,5.898359040700429
Blaydon and Consett,32.373928431687304,14.887143645195604,32.46334466612394,5.3090349345292,9.299947798946752,0.255,0.0,0.0,5.311600523517208
Blyth and Ashington,32.47158589901061,11.950067156502303,36.809231363261716,3.27450088300739,9.531422027524103,0.0,0.0,0.0,5.963192670693886
Bognor Regis and Littlehampton,21.326815872153787,21.312295607448362,36.08328683331237,8.447534255262973,6.78060276578892,1.23909023,0.0,0.0,4.810374436033576
Bolsover,26.502464299039488,17.844880072088777,35.757831525555424,3.821489122798119,10.317266617623792,0.0,0.0,0.0,5.6560683628944055
Bolton North East,28.58179076417046,22.117118036591794,24.54191617347549,3.197778166126705,13.182889136539368,4.08,0.0,0.0,4.298507723096182
Bolton South and Walkden,34.76009753350323,11.85767113441696,23.741202395897915,3.483017025981816,10.458047110349224,11.73,0.0,0.0,3.9699647998508683
Bolton West,29.543691665844378,26.119087572962282,24.860616812468642,3.7610561899137176,11.317821222449911,0.425,0.0,0.0,3.972726536361058
Bootle,41.88470887933084,5.365959795577287,33.23288500407202,3.5104696281689387,12.25485216785093,0.838432485,0.0,0.0,2.81269204
Boston and Skegness,14.40277712816455,25.591574691645995,43.361471348396435,2.910542005872803,5.193626017618409,1.8893588099999998,0.0,0.0,6.650649998301812
Bournemouth East,30.145755360902736,20.395343599709314,27.650405421556904,5.9998196664417796,9.559458999325336,3.0097948349999997,0.0,0.0,3.2394221170639446
Bournemouth West,26.327072551201088,25.802481951224188,24.849624728480993,8.931399948218479,9.706199844655437,0.765,0.0,0.0,3.6182209762198063
Bracknell,24.548533626408847,29.15039452611569,24.77869282613171,8.880666377224905,7.7999991316747135,1.275,0.0,0.0,3.4667135124441364
Bradford East,35.09689809064144,10.07786492981617,12.776259695222398,4.45723085870692,11.636064095081895,23.375,0.0,0.0,2.5806823305311717
Bradford South,29.10291753484828,14.884689978954025,24.578265491198284,2.7200808107127097,12.477632687549201,11.815,0.0,0.0,4.4214134967375065
Bradford West,33.82689624915996,8.316636557074165,6.9159241274504435,2.0763108936624954,13.326792857177551,34.17,0.0,0.0,1.3674393154753917
Braintree,20.28626101389941,30.970000101854957,30.01626578227055,4.856637909409595,7.813913728228784,1.3144267950000001,0.0,0.0,4.7424946693367
Brent East,44.43978197617121,17.93944753825754,4.73208861580826,7.190504096324726,16.539713927504067,8.33,0.0,0.0,0.8284638459341951
Brent West,33.861059300022134,33.902369753139915,4.5595664270215135,6.851375047918972,14.632565652058897,5.695,0.0,0.0,0.49806381983856823
Brentford and Isleworth,37.37790665981098,24.19908609370261,8.25091178827179,8.128644927530488,14.64483252960073,6.034999999999999,0.0,0.0,1.2636180010833997
Brentwood and Ongar,16.801164129439925,35.57819092866987,28.284277796653218,9.633544095152434,6.178632285457299,0.34,0.0,0.0,3.1841907646272474
Bridgwater,19.730102277876448,18.44828846917256,37.6547618262591,11.276263489098435,6.416790467295304,1.0681742650000001,0.0,0.0,5.405619205298157
Bridlington and The Wolds,20.076348732080888,25.25924089031521,35.30332991309941,5.814601409307356,5.5618042279220665,2.5038655750000003,0.0,0.0,5.480809252275071
Brigg and Immingham,21.014949291767795,31.17058745148494,33.37690157386465,2.8482133385096455,6.010732352107155,0.0,0.0,0.0,5.578615992265811
Brighton Kemptown and Peacehaven,31.328507039387546,9.048445664395235,23.905992913221976,7.98727162961516,22.70811449884548,2.295,0.0,0.0,2.6266682545346107
Brighton Pavilion,21.087172241678918,3.1806834516642164,11.340196083299032,3.324085370839459,58.44725461251837,1.02,0.0,0.0,1.6006082400000001
Bristol Central,25.835129773892618,3.2124100692214763,4.88488347910067,3.5695750769463093,61.25574561083892,0.425,0.0,0.0,0.8172559900000002
Bristol East,31.923341474656674,4.850620171422451,20.018949365326208,5.698698327270975,32.67488553228102,1.87,0.0,0.0,2.863505129042677
Bristol North East,32.64468973966784,10.878150243997274,23.768769475743255,4.778213488916147,21.497318523126857,3.145,0.0,0.0,3.287858528548627
Bristol North West,34.831200466273096,11.45764832221872,22.55461114198338,7.712035019914895,20.293848144538845,0.425,0.0,0.0,2.725656905071058
Bristol South,30.146655110466778,4.229144769408531,28.37631664925552,5.557156292521837,27.497840047370353,0.34,0.0,0.0,3.852887130976972
Broadland and Fakenham,21.03158590840611,30.147720321486602,26.6778207691234,9.25000373431846,8.574930324322665,0.0,0.0,0.0,4.317938942342765
Bromley and Biggin Hill,24.61716191462243,30.795100644823727,25.218354684348306,7.887899695615986,8.999699086847958,0.17,0.0,0.0,2.211783973741596
Bromsgrove,19.81593747863787,30.26189704631552,26.257643836526498,11.531186288551742,5.501558865655233,2.76330379,0.0,0.0,3.8684726943131356
Broxbourne,22.426906734917214,31.237991909508086,27.929608144033818,5.51074028841184,8.72422086523552,0.51,0.0,0.0,3.6605320578935214
Broxtowe,28.368230647367202,19.51627279419301,27.31994134725753,6.594632847309698,11.70096697174882,2.51237916,0.0,0.0,3.9875762321237493
Buckingham and Bletchley,27.88685404673553,30.891001670465087,20.41928918165484,7.597185703325831,8.924312546143206,0.85,0.0,0.0,3.331356851675505
Burnley,23.093718638926326,17.89185821747961,27.203452479545458,13.467693288199458,12.507087221801108,1.275,0.0,0.0,4.461190154048047
Burton and Uttoxeter,26.07047303530942,25.678357941042616,29.806238853198074,3.163745663304088,6.718488133118436,3.8249999999999997,0.0,0.0,4.737696374027379
Bury North,32.78225874331706,23.334824152279232,26.341443790504343,2.6474272534753833,6.003756495653258,5.185,0.0,0.0,3.7052895647707254
Bury South,30.807871779425867,27.15159692179097,18.604327687487206,4.815347523338229,11.765893863093346,3.4,0.0,0.0,3.4549622248643743
Bury St Edmunds and Stowmarket,23.76186083669326,23.254547232519254,28.36284646743945,5.1594589708466305,13.758262702539891,1.475399735,0.0,0.0,4.127624054961515
Calder Valley,29.921837151339098,23.699288637758762,26.502348288722345,5.126538647277106,9.918897980994462,1.02,0.0,0.0,3.811089293908237
Camborne and Redruth,27.59560756955924,18.29020388779793,31.620594135832924,7.190075121192629,8.911996286895064,1.611605025,0.0,0.0,4.679917973722215
Cambridge,30.929087304318532,10.670032034846955,10.755464723762906,16.526848383772176,26.461368823299438,4.08,0.0,0.0,0.57719873
Cannock Chase,25.46014002632704,23.370405157103562,36.373484614634826,2.1323834805273023,6.751150441581908,0.0,0.0,0.0,5.912436279825365
Canterbury,30.14580316230782,23.6525328718299,20.22385049995318,6.841296935752485,15.674565226582278,0.51,0.0,0.0,2.9519513035743317
Carlisle,27.049928097805658,18.380369682667578,35.47847925270449,5.258342327572769,7.378482037431776,1.321884615,0.0,0.0,5.132513986817722
Carshalton and Wallington,10.703942716431008,28.205055013698587,16.438140851636053,31.62875883121892,9.108466750686482,1.36,0.0,0.0,2.555635836328946
Castle Point,17.006524452469282,28.60110228806438,39.550623113160526,2.812846811238401,6.712540433715203,0.0,0.0,0.0,5.316362901352217
Central Devon,21.309055021835267,29.321436896353248,23.900255676914487,12.588952748580693,8.42177371500661,0.7197469128650658,0.0,0.0,3.73877902844462
Central Suffolk and North Ipswich,16.936162666519817,28.04349758737292,26.34421787491588,9.182248451683861,14.221715155051585,1.02,0.0,0.0,4.2521582644559395
Chatham and Aylesford,24.72673200861007,24.377789894790933,30.762005757025634,4.711157897856611,9.031473693569835,1.7,0.0,0.0,4.690840748146923
Cheadle,11.789663540132514,24.998525268782565,17.322237276834827,34.65251519055708,7.350224533404619,1.53,0.0,0.0,2.3568341902883825
Chelmsford,10.007034449703195,25.032366445016642,23.44231500305928,29.594118332195563,7.837750338874166,1.02,0.0,0.0,3.0664154311511473
Chelsea and Fulham,31.963270363305742,40.079439725108166,6.025622119214008,7.586484008339604,12.105245628354655,1.105,0.0,0.0,1.134938155677834
Cheltenham,4.8296655545146745,19.390226173933616,23.747287494465134,36.608426742503816,12.340431768604555,1.35155903,0.0,0.0,1.732403235978203
Chesham and Amersham,5.588854490006961,33.31343984119708,17.071797240275853,33.66807163042033,7.2619077872794255,0.935,0.0,0.0,2.160929010820348
Chester North and Neston,33.71493502878649,18.14994421831756,26.59175889448454,4.385227119421682,13.663682566903265,0.0,0.0,0.0,3.3944521720864618
