Seat,Labour,Conservative,Reform,Restore,LibDem,Green,Oth,SNP,Plaid
Aberafan Maesteg,30.414065754005687,1.7982919919999998,28.564666853865976,4.18,1.68688,4.6082643573337005,0.618112,0.0,28.129719042794644
Aberdeen North,18.96814687603554,9.237980209072823,15.352751839081154,1.35,6.403290745072821,11.6587920652974,1.5,35.07903826544026,0.0
Aberdeen South,18.36575583106803,21.71843775068397,10.184704495205388,1.035,5.0513299835386105,13.82638116596032,0.509964,28.963426773543674,0.0
Aberdeenshire North and Moray East,5.558956710683401,24.242408017202404,23.253209358530608,2.19,6.619808771001363,5.739617791147294,0.0,31.665999351434934,0.0
Airdrie and Shotts,31.264807519708572,6.283105239981042,18.050952138567265,1.215,2.9225811673305224,7.432396569037392,1.00224,31.42391736537521,0.0
Aldershot,30.692070201635822,28.380179004533296,24.50790155977224,3.657100464784097,5.045284816337576,7.2592399529369755,0.358224,0.0,0.0
Aldridge-Brownhills,18.594603178821536,34.9470520965045,31.645600466870015,4.895983865962392,3.179014677333196,6.737745714508363,0.0,0.0,0.0
Alloa and Grangemouth,26.670750405498737,5.095803669225283,18.649464060426215,1.38,3.1489601400243865,9.050957826401836,1.45152,33.992543898423534,0.0
Altrincham and Sale West,31.09868498983011,36.624367919908025,13.815270196454753,2.1757344895380037,5.850133228013065,9.593249176256037,0.74256,0.0,0.0
Alyn and Deeside,22.09359003163322,9.552069227951273,30.850872216548552,4.420000000000001,3.1142399999999997,8.271587600386848,1.0298880000000001,0.0,20.667752923480123
Amber Valley,26.998685713746333,15.584684009640831,41.59345813194484,6.220734603750026,2.4969629107759737,7.105474630142005,0.0,0.0,0.0
Angus and Perthshire Glens,9.316147294974616,20.26888303629042,17.454143206816408,1.035,6.619290696733699,5.558346430738258,0.75,38.65318933444661,0.0
Arbroath and Broughty Ferry,19.36913515203053,9.099202396227245,17.311331121845768,1.2899999999999998,5.6931767132272455,6.49599028587571,1.05,39.26116433079349,0.0
"Argyll, Bute and South Lochaber",11.7435735785317,12.573683558103257,16.59087068064226,1.02,15.98804920247711,5.641288608398617,1.05,34.95253437184705,0.0
Arundel and South Downs,13.032871830884474,37.61895430380415,19.64885598444676,3.1168069318306557,14.049662768508492,12.290644355525464,0.2422038249999999,0.0,0.0
Ashfield,23.429110540424176,8.502309268915166,43.4155528971226,7.024564981771968,1.5262886352120857,5.300312868471973,10.80186080808205,0.0,0.0
Ashford,25.63388228286566,26.30839289854697,27.714280628084886,4.341233666988881,3.3073906625665876,11.283047803427026,1.41177205752,0.0,0.0
Ashton-under-Lyne,35.6348010311358,9.877913761261182,31.996580776521206,4.947859075394074,2.8776121625751485,9.714833193112582,4.9504,0.0,0.0
Aylesbury,24.42618491252686,28.776319637435737,22.014506962683054,3.043294300556596,13.229624661645062,7.739575125152681,0.7704944,0.0,0.0
"Ayr, Carrick and Cumnock",22.56999274067554,11.72148944236719,20.292760138823706,1.305,2.777914102790378,7.650504015701464,0.41472,32.832619559641714,0.0
Banbury,28.555483272359307,26.0064321522134,25.630226055948743,3.534226629685749,5.536640344880763,9.084687544912033,1.552304,0.0,0.0
Bangor Aberconwy,19.058369231715815,12.618803908918789,21.948411731462574,2.92,2.4005600000000005,5.439102064164695,0.375232,0.0,34.01208920670392
Barking,37.95962415101133,11.870467036484335,14.059360435808138,1.538992914046178,3.8288894318408566,19.60766603080918,11.135,0.0,0.0
Barnsley North,36.09595646633256,6.242281844327675,39.47542233129844,6.341909522243521,2.983150480198261,6.8600456702395505,2.00123368536,0.0,0.0
Barnsley South,33.68461140792502,7.0806968055696515,40.93846421880046,6.858495355328505,2.5046167844474447,7.005703179448924,1.8274122484800002,0.0,0.0
Barrow and Furness,29.851433640392347,14.796009898101367,39.26515076602083,4.781091076798924,3.0298682319422596,7.912397516104274,0.36404887063999686,0.0,0.0
Basildon and Billericay,20.053478113606015,28.294931928706923,34.94492002527363,4.453348209458359,3.838377924301679,7.411495798653397,0.903448,0.0,0.0
Basingstoke,31.72245480645287,21.715555575970857,27.913182578923415,3.350141451474428,4.410400656004187,10.158760931174275,0.7295039999999999,0.0,0.0
Bassetlaw,28.89912658199102,14.791589475996133,39.754571318759055,5.391333221141254,3.1559748858669185,7.9074045162456255,0.0,0.0,0.0
Bath,11.347271022865542,14.862561608890045,14.223435756572915,2.111695519895796,37.44346652223227,17.039165720683904,2.9724038488595297,0.0,0.0
Bathgate and Linlithgow,29.27774177561998,6.728833162525934,16.779924203742,1.26,5.1742872393818224,9.12605742909304,0.5184,30.714756189637235,0.0
Battersea,39.34277669051068,24.06874074859021,5.973610947546854,1.2176483038629382,9.931643336511527,17.170579972977794,2.295,0.0,0.0
Beaconsfield,10.396440663178698,42.15159110035111,15.665599946684761,2.5548712344711983,20.215021055314217,7.479676,1.5368,0.0,0.0
Beckenham and Penge,40.23663330844298,25.321971191056793,14.8363616780743,1.8947344390129448,6.1245518411418125,11.58574754227117,0.0,0.0,0.0
Bedford,37.70185247243859,16.596411538510704,22.67006597914123,2.745459822053224,6.896791923465291,9.554218264390961,3.8351999999999995,0.0,0.0
Bermondsey and Old Southwark,40.4878075918192,10.24156268651364,7.836450535769172,1.1635494642308204,13.72642316381125,24.98020655785591,1.564,0.0,0.0
"Berwickshire, Roxburgh and Selkirk",7.699173306671287,34.94492626781095,15.35016046026863,1.08,6.587183394142563,8.76869284387808,0.1855039999999995,25.024359727228497,0.0
Bethnal Green and Stepney,38.901659132809456,5.501489630628068,3.223279648910157,0.7944265496367189,4.461899146020633,20.96452640251428,26.152719489480667,0.0,0.0
