Seat,Tribe,Labour,Conservative,Reform,LibDem,Green,Oth,SNP,Plaid
Aberdeen North,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,2.8889703,0
Aberdeen North,Left,0.0,0.0,0.0,0.0,0.0,0.0,10.7746640070632,0
Aberdeen North,Progressives,10.023641830905932,0.0,0.0,0.0,0.0,0.0,0.0,0
Aberdeen North,Average,20.276358169094067,0.0,0.0,0.0,0.0,0.0,14.381331026340078,0
Aberdeen North,Liberal,0.0,0.0,0.0,6.1,3.0,3.0,4.2172184729839675,0
Aberdeen North,Blues,0.0,2.4177336,0.0,0.0,0.0,0.0,0.0,0
Aberdeen North,Reforms,0.0,11.5822664,9.0,0.0,0.0,0.0,2.3378161936127544,0
Aberdeen South,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,2.8795274,0
Aberdeen South,Left,0.0,0.0,0.0,0.0,0.0,0.0,14.06774457634053,0
Aberdeen South,Progressives,17.59411076037977,0.0,0.0,0.0,0.0,0.0,0.0,0
Aberdeen South,Average,7.105889239620229,0.0,0.0,0.0,0.317624180533425,0.0,15.852728023659466,0
Aberdeen South,Liberal,0.0,11.79151110119163,0.0,6.3,3.182375819466575,1.4,0.0,0
Aberdeen South,Blues,0.0,3.3982769,0.0,0.0,0.0,0.0,0.0,0
Aberdeen South,Reforms,0.0,9.21021199880837,6.9,0.0,0.0,0.0,0.0,0
Aberdeenshire North and Moray East,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,0.2274777,0
Aberdeenshire North and Moray East,Left,0.0,0.0,0.0,0.0,0.0,0.0,8.18591656613117,0
Aberdeenshire North and Moray East,Progressives,3.101213491586125,0.0,0.0,0.0,0.0,0.0,0.0,0
Aberdeenshire North and Moray East,Average,6.9987865084138745,2.0277462624315525,0.0,0.0,0.0,0.0,26.786605733868832,0
Aberdeenshire North and Moray East,Liberal,0.0,10.16520719464696,0.0,7.3,0.0,0.0,0.0,0
Aberdeenshire North and Moray East,Blues,0.0,0.1117,0.0,0.0,0.0,0.0,0.0,0
Aberdeenshire North and Moray East,Reforms,0.0,20.49534654292148,14.6,0.0,0.0,0.0,0.0,0
Airdrie and Shotts,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,1.5756833,0
Airdrie and Shotts,Left,0.0,0.0,0.0,0.0,0.0,0.0,9.832236710398105,0
Airdrie and Shotts,Progressives,3.824389495905119,0.0,0.0,0.0,0.0,0.0,0.0,0
Airdrie and Shotts,Average,34.00523049386712,0.0,0.0,0.0,0.0,0.0,0.0,0
Airdrie and Shotts,Liberal,13.670380010227767,0.0,0.0,2.0,0.0,2.9,0.32723787304813357,0
Airdrie and Shotts,Blues,0.0,0.1300077,0.0,0.0,0.0,0.0,0.0,0
Airdrie and Shotts,Reforms,0.0,4.4699922999999995,8.1,0.0,0.0,0.0,19.164842116553757,0
Alloa and Grangemouth,Muslim,0.0,0.0,0.0,0.0,0.0,0.0,1.1969451,0
Alloa and Grangemouth,Left,0.0,0.0,0.0,0.0,0.0,0.0,8.640228467579654,0
Alloa and Grangemouth,Progressives,4.061402889098369,0.0,0.0,0.0,0.0,0.0,0.0,0
Alloa and Grangemouth,Average,38.20591694344478,0.0,0.0,0.0,0.0,0.0,0.0,0
Alloa and Grangemouth,Liberal,1.5326801674568529,0.0,0.0,2.8,3.4,4.2,4.806491583520195,0
Alloa and Grangemouth,Blues,0.0,0.1821756,0.0,0.0,0.0,0.0,0.0,0
Alloa and Grangemouth,Reforms,0.0,7.4178244,9.2,0.0,0.0,0.0,14.25633484890015,0
