Seat,Labour,Conservative,Reform,LibDem,Green,Oth,SNP,Plaid,Restore
Aberdeen North,18.96814687603554,9.237980209072823,15.352751839081154,6.403290745072821,11.6587920652974,1.5,35.07903826544026,0.0,1.3499999999999999
Aberdeen South,17.91246879769874,20.415172797772506,11.022407462343491,6.198176677188607,14.626713912255397,0.7,27.745060352741255,0.0,1.035
Aberdeenshire North and Moray East,6.260315507812393,23.332243789220886,23.144123360806976,7.144963595252416,6.184932964598377,0.0,31.013420782308952,0.0,2.19
Airdrie and Shotts,29.624564069549002,6.947455690372956,17.653197755983786,3.6036759153274014,8.372833193309967,1.45,30.728273375456894,0.0,1.2149999999999999
Alloa and Grangemouth,24.799925561212987,5.634613594167556,18.322437045754295,3.8828115166761856,10.196194379057584,2.1,33.12401790313139,0.0,1.38
Angus and Perthshire Glens,9.316147294974616,20.26888303629042,17.454143206816408,6.619290696733699,5.558346430738258,0.75,38.65318933444661,0.0,1.035
Arbroath and Broughty Ferry,19.369135152030534,9.099202396227245,17.311331121845768,5.6931767132272455,6.49599028587571,1.05,39.26116433079349,0.0,1.2899999999999998
"Argyll, Bute and South Lochaber",11.743573578531699,12.573683558103255,16.59087068064226,15.98804920247711,5.641288608398617,1.05,34.95253437184705,0.0,1.02
"Ayr, Carrick and Cumnock",20.920778186374914,12.960872914849691,19.560831037363414,3.4252948246490478,8.61853822965648,0.6,32.17368480710645,0.0,1.305
Bathgate and Linlithgow,27.184412741005424,7.440313103000341,16.357806591698232,6.380132231050336,10.280796490957373,0.75,29.926538842288302,0.0,1.26
"Berwickshire, Roxburgh and Selkirk",8.996108539387803,30.564549373040848,17.407384228457385,7.7223720916091,9.096154402363151,0.21999999999999942,24.553431365141712,0.0,1.08
"Caithness, Sutherland and Easter Ross",5.021942060776554,3.249096583548395,17.80354005235027,44.169821097186386,8.917078287875702,0.0,19.37852191826269,0.0,1.095
Central Ayrshire,25.023911402511036,9.629916378435086,18.104991931917937,3.5121475388471084,8.64367937009088,0.6,32.82535337819795,0.0,1.245
Coatbridge and Bellshill,28.74636936821798,6.333715573574464,16.943962101522054,3.2605285390798873,11.73316208679554,0.8,30.842262330810076,0.0,1.005
Cowdenbeath and Kirkcaldy,26.262891140871233,6.0454324170247,16.54283031781828,4.95944323032111,10.482018296497595,1.55,32.61738459746709,0.0,1.155
Cumbernauld and Kirkintilloch,25.975169249805376,5.077560667974366,15.66476146355636,4.3640994703896325,11.7698319367447,0.0,35.608577211529564,0.0,1.155
Dumfries and Galloway,15.306735913138564,19.858624768142867,19.862365876094994,4.976145856176319,8.265076023260182,0.25,29.601051563187077,0.0,1.41
"Dumfriesshire, Clydesdale and Tweeddale",13.769787680462658,24.56023358094916,18.81588298575128,6.519255267638924,8.586970226312912,0.25,25.757870258885077,0.0,1.305
Dundee Central,23.81094302049732,3.6451300200195402,13.190234438698663,6.677968113019539,13.95333393554738,2.3258610306283543,35.176529441589196,0.0,0.9149999999999999
Dunfermline and Dollar,26.5647922255353,7.003705271807291,14.710797019306462,8.077525392770156,11.58330361910156,0.75,30.009876471479235,0.0,0.975
East Kilbride and Strathaven,28.030717390848846,6.957893032877747,15.056683931624107,3.620310967102562,11.143614476281522,0.65,33.1007802012652,0.0,1.08
East Renfrewshire,25.322425226772662,14.874908877676752,10.48921378859433,3.523272864697822,11.323918395294086,1.35,32.17626084696435,0.0,0.705
Edinburgh East and Musselburgh,25.908114164782567,5.077030842832781,9.018766503720604,4.898679134832781,25.08490097449497,0.4,28.6725083793363,0.0,0.705
Edinburgh North and Leith,28.036118037604155,5.718490959507212,8.018467758664457,8.061217149507211,19.99120042376085,0.75,28.684505670956106,0.0,0.555
Edinburgh South,32.74398756156772,9.387867134421876,7.62715690703703,7.04043289438215,20.07470632775993,1.35,20.89584917483129,0.0,0.585
Edinburgh South West,26.351614791091016,9.807300701447586,9.352367040243942,7.085430646230288,21.14960488299982,0.5,24.833681937987347,0.0,0.69
Edinburgh West,10.340561292494405,5.8216596416570825,9.978679861258595,45.90427507429429,10.786064454081,0.0,16.32875967621463,0.0,0.63
Falkirk,24.443213454769495,5.946830052194324,16.996427618062057,3.6534734170634455,11.12321851392291,1.4,34.856836943987766,0.0,1.185
Glasgow East,27.522701299449086,5.579111588995044,12.352542960731803,3.3985406112249286,18.90443281775416,0.65,30.252670721844975,0.0,1.005
Glasgow North,27.726734502726245,6.114645347290402,4.8557743936443725,4.003864641367379,32.768322595980756,0.8,22.770658518990853,0.0,0.72
Glasgow North East,28.27155803603225,4.0501143060682,12.96479744639251,2.6660196029709136,19.039738549797633,1.35,30.31777205873849,0.0,1.005
Glasgow South,25.797660490920695,3.5431928675111526,10.776957734410967,3.8486620156958287,20.7911986950323,1.1,33.32232819642906,0.0,0.6149999999999999
Glasgow South West,26.723541901858823,4.913274180812734,11.0327731694148,3.6559907457209526,19.296799650658226,0.75,32.367620351534455,0.0,0.945
Glasgow West,29.127019273666495,4.4542992572840046,10.561980768070969,4.127534932016764,20.546050370812676,0.4,29.723115398149098,0.0,0.7949999999999999
Glenrothes and Mid Fife,25.194945640236764,5.116802568181422,19.928946920978994,5.460826694556769,7.350893443172892,0.0,34.98758473287316,0.0,1.47
Gordon and Buchan,6.967382985037743,25.90011995807952,16.40785431367957,15.953763501726415,5.80680907083762,0.0,27.14407017063913,0.0,1.365
Hamilton and Clyde Valley,28.812335607799394,9.179259030817438,17.0342695062835,4.939548235507214,7.540129117379185,0.15,30.68445850221327,0.0,1.17
Inverclyde and Renfrewshire West,26.8960389152467,6.082105848567516,16.09920508719677,4.288031438110041,9.612960127604817,1.35,34.35165858327416,0.0,0.9149999999999999
"Inverness, Skye and West Ross-shire",8.585851961110226,4.061509445995096,13.954223475262575,34.952930671810606,10.806140745895945,0.0,26.679343699925553,0.0,0.6449999999999999
Kilmarnock and Loudoun,25.44352084553898,5.717828687832338,17.74746610990386,3.1236370125693638,9.56428473266736,0.45,36.31326261148809,0.0,1.2299999999999998
Livingston,23.623422968178144,5.981076463126084,16.292070457925,5.381747162132435,11.362571227059586,0.6,34.97911172157875,0.0,1.335
Lothian East,28.244478334694556,9.278159715680616,14.87227666886065,6.739286779281304,12.270429446956825,0.6,26.735369054526053,0.0,0.945
Mid Dunbartonshire,12.438766731683437,5.096490100753242,9.597332575048451,40.01294996070072,9.145804713996945,0.0,22.90865591781719,0.0,0.6
Midlothian,27.884933046910454,7.372292122836853,15.497190946719902,7.095185269820258,7.059650975016797,0.3,33.31074763869574,0.0,1.11
"Moray West, Nairn and Strathspey",11.067945282931014,20.092665162875644,18.20330163710525,8.05177554427719,9.783616845190675,0.45,30.750695527620223,0.0,1.125
"Motherwell, Wishaw and Carluke",28.09768604870027,5.795650015171724,16.828729079393845,3.423725832711872,10.962596662269556,0.45,32.90161236175274,0.0,1.155
Na h-Eileanan an Iar,27.803761447473402,5.512036549977543,21.30654715633088,4.202979172288176,5.198277795241884,4.669829526648474,30.26656835203965,0.0,0.78
North Ayrshire and Arran,22.63914666328627,8.416050923466969,18.289527470245883,3.3416369234669685,9.696517226535647,0.55,35.44712079299826,0.0,1.2149999999999999
North East Fife,6.9029229614381125,3.6947408274547575,10.887004171304268,49.14379814298205,16.278643955265665,0.0,12.112889941555142,0.0,0.735
Orkney and Shetland,4.842967337160567,2.4518725044001726,15.168058968175876,48.78424687258958,15.323081748578899,0.0,11.889772569094914,0.0,1.155
Paisley and Renfrewshire North,27.82638170881024,6.840153660495057,14.996931820980734,4.507276908823796,10.943883083624334,0.0,33.32537281726584,0.0,1.17
Paisley and Renfrewshire South,27.619036584974015,5.175675087631674,15.78145471732443,4.338652974738604,12.015696826551778,0.5,33.1294838087795,0.0,1.08
Perth and Kinross-shire,11.550359950536437,21.54236736983163,15.03029728499208,7.3588046210919495,6.294298283127293,0.7,36.34387249042062,0.0,0.885
Rutherglen,29.321452212822674,7.15206824421162,14.684801773797943,5.381684050551615,7.661150271362481,1.8,32.73884344725367,0.0,0.945
Stirling and Strathallan,20.09925448427034,13.115874016801982,13.557829109941231,5.65508602104573,14.445150645326411,0.0,31.86680572261431,0.0,0.945
West Aberdeenshire and Kincardine,8.629437654175552,29.501093376784517,13.82610548853739,12.563526424518205,7.7201897611245,0.10000000000000098,26.239647294859836,0.0,1.065
West Dunbartonshire,27.852177092820998,4.596401259575644,17.136772452975862,3.4327136090187036,11.035103767952348,0.5,34.04683181765644,0.0,1.05
