Seat,Labour_Prob,Conservative_Prob,Reform_Prob,Restore_Prob,LibDem_Prob,Green_Prob,Oth_Prob,SNP_Prob,Plaid_Prob,PredictedWinner,WinnerProb
Aberafan Maesteg,0.4052,0.0,0.3075,0.0,0.0,0.0,0.0,0.0,0.2873,Labour,0.4052
Aberdeen North,0.0786,0.0001,0.0225,0.0,0.0,0.0018,0.0,0.897,0.0,SNP,0.897
Aberdeen South,0.0885,0.1985,0.001,0.0,0.0,0.0206,0.0,0.6914,0.0,SNP,0.6914
Aberdeenshire North and Moray East,0.0,0.1808,0.1742,0.0,0.0,0.0,0.0,0.645,0.0,SNP,0.645
Airdrie and Shotts,0.447,0.0,0.024,0.0,0.0,0.0,0.0,0.529,0.0,SNP,0.529
Aldershot,0.4633,0.3425,0.1942,0.0,0.0,0.0,0.0,0.0,0.0,Labour,0.4633
Aldridge-Brownhills,0.0532,0.5105,0.4363,0.0,0.0,0.0,0.0,0.0,0.0,Conservative,0.5105
Alloa and Grangemouth,0.2281,0.0,0.0407,0.0,0.0,0.0002,0.0,0.731,0.0,SNP,0.731
Altrincham and Sale West,0.3891,0.5982,0.0124,0.0,0.0,0.0003,0.0,0.0,0.0,Conservative,0.5982
Alyn and Deeside,0.1562,0.0052,0.6743,0.0,0.0,0.0,0.0,0.0,0.1643,Reform,0.6743
Amber Valley,0.1787,0.0534,0.7679,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.7679
Angus and Perthshire Glens,0.0001,0.0667,0.0274,0.0,0.0,0.0,0.0,0.9058,0.0,SNP,0.9058
Arbroath and Broughty Ferry,0.0574,0.0,0.0254,0.0,0.0,0.0,0.0,0.9172,0.0,SNP,0.9172
"Argyll, Bute and South Lochaber",0.0035,0.0051,0.0408,0.0,0.031,0.0,0.0,0.9196,0.0,SNP,0.9196
Arundel and South Downs,0.0046,0.9101,0.075,0.0,0.0069,0.0034,0.0,0.0,0.0,Conservative,0.9101
Ashfield,0.0936,0.0001,0.9055,0.0,0.0,0.0,0.0008,0.0,0.0,Reform,0.9055
Ashford,0.221,0.3295,0.4486,0.0,0.0,0.0009,0.0,0.0,0.0,Reform,0.4486
Ashton-under-Lyne,0.608,0.0032,0.3885,0.0,0.0,0.0003,0.0,0.0,0.0,Labour,0.608
Aylesbury,0.2293,0.5278,0.2085,0.0,0.0344,0.0,0.0,0.0,0.0,Conservative,0.5278
"Ayr, Carrick and Cumnock",0.1255,0.004,0.0843,0.0,0.0,0.0,0.0,0.7862,0.0,SNP,0.7862
Banbury,0.378,0.2858,0.3361,0.0,0.0,0.0001,0.0,0.0,0.0,Labour,0.378
Bangor Aberconwy,0.038,0.0076,0.1249,0.0,0.0,0.0,0.0,0.0,0.8295,Plaid,0.8295
Barking,0.9175,0.0015,0.0097,0.0,0.0,0.07,0.0013,0.0,0.0,Labour,0.9175
Barnsley North,0.4077,0.0,0.5923,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.5923
Barnsley South,0.3245,0.0002,0.6753,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.6753
Barrow and Furness,0.2859,0.0413,0.6728,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.6728
Basildon and Billericay,0.1009,0.1933,0.7058,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.7058
Basingstoke,0.5204,0.1869,0.2925,0.0,0.0,0.0002,0.0,0.0,0.0,Labour,0.5204
Bassetlaw,0.2616,0.0385,0.6999,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.6999
Bath,0.0191,0.0544,0.0247,0.0,0.7791,0.1227,0.0,0.0,0.0,LibDem,0.7791
Bathgate and Linlithgow,0.4043,0.0,0.0245,0.0,0.0,0.0003,0.0,0.5709,0.0,SNP,0.5709
Battersea,0.8605,0.1231,0.0,0.0,0.0001,0.0163,0.0,0.0,0.0,Labour,0.8605
Beaconsfield,0.002,0.8353,0.049,0.0,0.1137,0.0,0.0,0.0,0.0,Conservative,0.8353
Beckenham and Penge,0.804,0.1876,0.0072,0.0,0.0,0.0012,0.0,0.0,0.0,Labour,0.804
Bedford,0.8153,0.0522,0.1321,0.0,0.0001,0.0003,0.0,0.0,0.0,Labour,0.8153
Bermondsey and Old Southwark,0.7785,0.0004,0.0,0.0,0.0219,0.1992,0.0,0.0,0.0,Labour,0.7785
"Berwickshire, Roxburgh and Selkirk",0.0,0.6753,0.0401,0.0,0.0,0.0002,0.0,0.2844,0.0,Conservative,0.6753
Bethnal Green and Stepney,0.6171,0.0,0.0,0.0,0.0,0.0735,0.3094,0.0,0.0,Labour,0.6171
Beverley and Holderness,0.1637,0.3247,0.5116,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.5116
Bexhill and Battle,0.119,0.5013,0.3796,0.0,0.0,0.0001,0.0,0.0,0.0,Conservative,0.5013
Bexleyheath and Crayford,0.2937,0.3284,0.3779,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.3779
Bicester and Woodstock,0.0017,0.2609,0.1584,0.0,0.579,0.0,0.0,0.0,0.0,LibDem,0.579
Birkenhead,0.6848,0.0,0.2346,0.0,0.0,0.0806,0.0,0.0,0.0,Labour,0.6848
Birmingham Edgbaston,0.8668,0.1281,0.0018,0.0,0.0,0.0033,0.0,0.0,0.0,Labour,0.8668
Birmingham Erdington,0.7378,0.0189,0.2424,0.0,0.0,0.0009,0.0,0.0,0.0,Labour,0.7378
Birmingham Hall Green and Moseley,0.6232,0.0004,0.0,0.0,0.0,0.0067,0.3697,0.0,0.0,Labour,0.6232
Birmingham Hodge Hill and Solihull North,0.6503,0.0076,0.0964,0.0,0.0,0.0001,0.2456,0.0,0.0,Labour,0.6503
Birmingham Ladywood,0.7231,0.0,0.0,0.0,0.0,0.053,0.2239,0.0,0.0,Labour,0.7231
Birmingham Northfield,0.4768,0.156,0.3672,0.0,0.0,0.0,0.0,0.0,0.0,Labour,0.4768
Birmingham Perry Barr,0.5237,0.0008,0.0,0.0,0.0,0.0007,0.4748,0.0,0.0,Labour,0.5237
Birmingham Selly Oak,0.8237,0.026,0.0414,0.0,0.0,0.1089,0.0,0.0,0.0,Labour,0.8237
Birmingham Yardley,0.7042,0.0029,0.002,0.0,0.0001,0.0002,0.2906,0.0,0.0,Labour,0.7042
Bishop Auckland,0.2696,0.0934,0.637,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.637
Blackburn,0.0979,0.0001,0.0038,0.0,0.0,0.0012,0.897,0.0,0.0,Oth,0.897
Blackley and Middleton South,0.8991,0.0005,0.0946,0.0,0.0,0.0058,0.0,0.0,0.0,Labour,0.8991
Blackpool North and Fleetwood,0.236,0.035,0.729,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.729
Blackpool South,0.4422,0.0023,0.5555,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.5555
Blaenau Gwent and Rhymney,0.1339,0.0,0.4893,0.0,0.0,0.0001,0.0,0.0,0.3767,Reform,0.4893
Blaydon and Consett,0.4923,0.0051,0.5026,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.5026
Blyth and Ashington,0.3817,0.0002,0.6177,0.0,0.0,0.0004,0.0,0.0,0.0,Reform,0.6177
Bognor Regis and Littlehampton,0.0874,0.0849,0.8277,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.8277
Bolsover,0.2356,0.0249,0.7395,0.0,0.0,0.0,0.0,0.0,0.0,Reform,0.7395
Bolton North East,0.5466,0.1638,0.287,0.0,0.0,0.0026,0.0,0.0,0.0,Labour,0.5466
Bolton South and Walkden,0.7985,0.002,0.1977,0.0,0.0,0.0009,0.0009,0.0,0.0,Labour,0.7985
Bolton West,0.492,0.2838,0.2241,0.0,0.0,0.0001,0.0,0.0,0.0,Labour,0.492
Bootle,0.7076,0.0,0.2918,0.0,0.0,0.0006,0.0,0.0,0.0,Labour,0.7076
Boston and Skegness,0.0036,0.1184,0.8779,0.0001,0.0,0.0,0.0,0.0,0.0,Reform,0.8779
Bournemouth East,0.5335,0.078,0.3884,0.0,0.0,0.0001,0.0,0.0,0.0,Labour,0.5335
