Seat,Tribe,Labour,Conservative,Reform,LibDem,Green,Oth,Plaid
Aberafan Maesteg,Muslim,0.0,0.0,0.0,0.0,0.8112341000000001,0.0,0.0
Aberafan Maesteg,Left,0.0,0.0,0.0,0.0,0.0,0.0,8.971083262359567
Aberafan Maesteg,Progressives,4.838531922838293,0.0,0.0,0.0,0.0,0.0,0.0
Aberafan Maesteg,Average,35.01611766689004,0.0,0.0,0.0,0.0,0.0,0.0
Aberafan Maesteg,Liberal,8.684432127099662,0.0,0.0,2.6,0.0,2.2,0.0
Aberafan Maesteg,Blues,0.0,0.312196,0.0,0.0,0.0,0.0,0.0
Aberafan Maesteg,Reforms,1.3609182831720048,7.7878039999999995,20.9,0.0,2.2887659,0.0,4.228916737640432
Alyn and Deeside,Muslim,0.0,0.0,0.0,0.0,0.5525457,0.0,0.0
Alyn and Deeside,Left,3.5011195482865904,0.0,0.0,0.0,0.0,0.0,4.5
Alyn and Deeside,Progressives,5.178733031088497,0.0,0.0,0.0,0.0,0.0,0.0
Alyn and Deeside,Average,33.72014742062491,0.0,0.0,0.0,0.44332028931705736,0.0,0.0
Alyn and Deeside,Liberal,0.0,9.824345631148294,0.0,4.8,3.404134010682943,3.6,0.0
Alyn and Deeside,Blues,0.0,0.292879,0.0,0.0,0.0,0.0,0.0
Alyn and Deeside,Reforms,0.0,8.082775368851706,22.1,0.0,0.0,0.0,0.0
Bangor Aberconwy,Muslim,0.0,0.0,0.0,0.0,1.3168733,0.0,0.0
Bangor Aberconwy,Left,0.0,0.0,0.0,0.0,0.0,0.0,12.33249473738251
Bangor Aberconwy,Progressives,7.875407651078995,0.0,0.0,0.0,0.0,0.0,0.0
Bangor Aberconwy,Average,25.724592348921007,0.0,0.0,0.0,1.9831267,0.0,9.56750526261749
Bangor Aberconwy,Liberal,0.0,11.069829450255494,0.0,3.7,0.0,1.3,0.0
Bangor Aberconwy,Blues,0.0,0.3533608,0.0,0.0,0.0,0.0,0.0
Bangor Aberconwy,Reforms,0.0,8.949377892710304,14.6,0.0,0.0,0.0,0.0
Blaenau Gwent and Rhymney,Muslim,0.0,0.0,0.0,0.0,0.403606,0.0,0.0
Blaenau Gwent and Rhymney,Left,0.0,0.0,0.0,0.0,0.0,0.0,8.610354936655826
Blaenau Gwent and Rhymney,Progressives,4.625082539238744,0.0,0.0,0.0,0.0,0.0,0.0
Blaenau Gwent and Rhymney,Average,34.737813220904,0.0,0.0,0.0,0.0,0.0,0.0
Blaenau Gwent and Rhymney,Liberal,0.0,0.0,0.0,4.2,0.0,8.04236165939378,0.0
Blaenau Gwent and Rhymney,Blues,0.0,0.1302553,0.0,0.0,0.0,0.0,0.0
Blaenau Gwent and Rhymney,Reforms,14.237104239857253,12.4697447,0.0,0.0,5.296394,2.95763834060622,4.189645063344175
"Brecon, Radnor and Cwm Tawe",Muslim,0.0,0.0,0.0,0.0,0.3193708,0.0,0.0
"Brecon, Radnor and Cwm Tawe",Left,1.799832863261246,0.0,0.0,0.0,0.0,0.0,4.9
"Brecon, Radnor and Cwm Tawe",Progressives,6.260187223343498,0.0,0.0,0.0,0.0,0.0,0.0
"Brecon, Radnor and Cwm Tawe",Average,13.239979913395258,0.0,0.0,11.036481905007626,2.2806292,1.3,0.0
"Brecon, Radnor and Cwm Tawe",Liberal,0.0,0.0,0.0,18.463518094992374,0.0,0.0,0.0
"Brecon, Radnor and Cwm Tawe",Blues,0.0,0.3660942,0.0,0.0,0.0,0.0,0.0
"Brecon, Radnor and Cwm Tawe",Reforms,0.0,12.12721982769744,14.1,0.0,0.0,0.0,0.0
Bridgend,Muslim,0.0,0.0,0.0,0.0,0.6690934,0.0,0.0
Bridgend,Left,0.0,0.0,0.0,0.0,0.0,0.0,7.702869347436401
Bridgend,Progressives,6.211243978633397,0.0,0.0,0.0,0.0,0.0,0.0
Bridgend,Average,33.6887560213666,0.0,0.0,0.0,2.771558303810693,0.0,1.0971306525635995
Bridgend,Liberal,0.0,8.322427645408318,0.0,3.5,0.8593482961893049,8.1,0.0
Bridgend,Blues,0.0,0.2745759,0.0,0.0,0.0,0.0,0.0
Bridgend,Reforms,0.0,7.702996454591684,19.1,0.0,0.0,0.0,0.0
Caerfyrddin,Muslim,0.0,0.0,0.0,0.0,0.6041491,0.0,0.0
Caerfyrddin,Left,0.0,0.0,0.0,0.0,0.0,0.0,7.598378738905128
Caerfyrddin,Progressives,5.757496641653428,0.0,0.0,0.0,0.0,0.0,0.0
Caerfyrddin,Average,18.342503358346573,0.0,0.0,0.0,0.0,0.0,25.86661123438275
Caerfyrddin,Liberal,0.0,8.255052056046225,0.0,3.2,2.3958509,1.1,0.5350100267121158
Caerfyrddin,Blues,0.0,0.3196555,0.0,0.0,0.0,0.0,0.0
Caerfyrddin,Reforms,0.0,10.825292443953774,15.2,0.0,0.0,0.0,0.0
Caerphilly,Muslim,0.0,0.0,0.0,0.0,0.3444948,0.0,0.0
Caerphilly,Left,0.0,0.0,0.0,0.0,0.0,0.0,8.757278279926833
Caerphilly,Progressives,4.845953972027991,0.0,0.0,0.0,0.0,0.0,0.0
Caerphilly,Average,33.15404602797201,0.0,0.0,0.0,0.0,0.0,3.2942755203354253
Caerphilly,Liberal,0.0,1.208808535360145,0.0,4.7,3.9555051999999997,0.0,9.14844619973774
Caerphilly,Blues,0.0,0.2220227,0.0,0.0,0.0,0.0,0.0
Caerphilly,Reforms,0.0,10.069168764639855,20.3,0.0,0.0,0.0,0.0
Cardiff East,Muslim,0.0,0.0,0.0,0.0,9.7844604,0.0,0.0
Cardiff East,Left,9.45746070851146,0.0,0.0,0.0,0.0,0.0,9.1
Cardiff East,Progressives,15.841478889760022,0.0,0.0,0.0,0.0,0.0,0.0
Cardiff East,Average,15.201060401728517,0.0,0.0,0.0,0.2155395999999996,0.1586125087960255,0.0
