Seat,Labour,Conservative,Reform,LibDem,Green,Oth,SNP,Plaid,Restore
Aberafan Maesteg,29.57279898986581,2.3897568,28.004443573865974,2.08,5.300267249417672,0.8800000000000001,0.0,27.592733386850547,4.18
Alyn and Deeside,20.14915301223915,12.693779704918636,27.946630614525116,3.84,9.130593871850547,1.4400000000000002,0.0,20.379842796466562,4.420000000000001
Bangor Aberconwy,17.60852445906474,13.953065828797556,21.160223778592712,2.9600000000000004,6.255868218812909,0.52,0.0,33.39488585769788,2.92
Blaenau Gwent and Rhymney,23.20000263799858,3.46420424,30.008628173093197,3.3600000000000003,7.828531851582091,3.8084723318787566,0.0,28.23016076544738,0.0
"Brecon, Radnor and Cwm Tawe",10.320696473137374,6.4842417845379625,23.201128189446155,24.703648190500765,6.0653406417872615,0.26,0.0,12.338258748287926,2.8200000000000003
Bridgend,20.721674638718,10.837602836326655,27.04061008516901,2.8000000000000003,6.8992607538036825,3.24,0.0,24.64085168598265,3.8200000000000003
Caerfyrddin,12.636449798499207,11.37976604483698,22.54420919024728,2.5600000000000005,5.151674026079494,0.44000000000000006,0.0,42.24790094033703,3.04
Caerphilly,19.670757238321677,4.384664988288117,26.61611823366993,3.7600000000000002,6.465326651888118,0.0,0.0,35.043132887832165,4.0600000000000005
Cardiff East,16.782183772044757,5.962090454149047,14.864780444717185,13.76,21.8351021598182,0.1682774982407949,0.0,20.050362341775255,2.54
Cardiff North,21.238639458378746,18.178270804799723,14.03486422853113,5.36,12.802204237653232,0.0,0.0,24.224369903841385,2.52
Cardiff South and Penarth,14.760500881256421,11.253828055802767,10.71767715705776,5.920000000000001,33.37386816203888,0.0,0.0,18.605344860910588,2.3000000000000003
Cardiff West,19.46879694967562,11.048134548108736,18.08376901060304,3.44,11.4676852567655,1.2000000000000002,0.0,32.77161423484711,2.52
Ceredigion Preseli,6.339741463964842,5.286375814700377,17.81125914400731,12.0,6.28008374249674,0.2,0.0,49.66253983483073,2.32
Clwyd East,20.092395611344696,20.5308474424455,23.987931352722963,3.12,5.991745454832674,0.52,0.0,21.88148714705811,3.18
Clwyd North,18.4179029152949,13.002353508038322,25.289695809771544,3.2,6.353278688163151,0.0,0.0,19.684565981307504,3.3600000000000003
Dwyfor Meirionnydd,7.8005134001451895,3.1224,20.343095002750825,2.72,5.60548143403509,0.27999999999999997,0.0,57.628510163068896,2.4000000000000004
Gower,23.111065415489048,16.518048145081547,20.688487719383602,4.4,7.9824771574030535,0.24,0.0,23.439921562642745,3.6200000000000006
Llanelli,16.280989002558986,8.7470825392563,26.87293029109155,2.4800000000000004,4.86294684570177,0.6000000000000001,0.0,34.636051321391385,5.5200000000000005
Merthyr Tydfil and Aberdare,24.174443975775205,2.3957800799999998,29.16980394814689,2.8800000000000003,5.901795932109253,1.2800000000000002,0.0,29.358176063968653,4.74
Mid and South Pembrokeshire,17.759835595716098,13.644467893148057,26.327702936882638,4.08,6.819243019172407,0.6000000000000001,0.0,19.052502244825476,3.3600000000000003
Monmouthshire,19.44911676868127,24.253265254411023,20.929845261093863,3.6,10.092222859485885,0.6400000000000001,0.0,17.04083090643001,2.14
Montgomeryshire and Glyndwr,15.356750760408392,8.317189602736454,25.279224973611683,12.0,6.341295341973904,0.0,0.0,23.16716311809416,4.12
Neath and Swansea East,23.114924011220932,6.703691640460739,26.395211169599023,4.64,6.826025789865206,0.0,0.0,27.160147388854107,5.0600000000000005
Newport East,20.434730063432916,11.032070766144189,25.708267720801416,4.24,11.680749385737876,2.0,0.0,20.57839988958204,3.8200000000000003
Newport West and Islwyn,21.54626557230275,11.562635685411152,25.73755448023564,4.0,7.572783599463296,1.52,0.0,23.980760662587173,4.08
Pontypridd,21.405731164976167,3.6336042629191443,27.971042711275324,3.28,7.427033964051475,2.84,0.0,29.46258789677789,3.98
Rhondda and Ogmore,27.54097641368131,1.79912392,28.62968583801674,2.08,5.652345144411012,0.0,0.0,29.07786868389093,5.220000000000001
Swansea West,18.080202799814614,3.6584966624870203,20.947047572059105,10.082601753329918,15.361168832754512,0.18000000000000002,0.0,24.777084425289118,3.5
Torfaen,21.24509015254143,8.539822480110072,29.801814366642745,3.6799999999999997,7.79907683843014,1.16,0.0,23.374196162275616,4.4
Vale of Glamorgan,19.680487294165232,20.248236360392987,22.08091053561801,2.8000000000000003,7.625139028428908,0.76,0.0,20.8389171345602,3.04
Wrexham,20.41104241915293,14.096387342270944,25.78432061807928,3.5200000000000005,6.1093716925724895,0.48,0.0,24.164468710619666,3.4200000000000004
Ynys Môn,12.290658186470491,16.473911434902124,23.66798734754897,1.04,4.091847901274037,0.24,0.0,40.21559512980438,1.9800000000000002
