Seat,County,Region, ,Muslim,Left,Progressives,Average,Liberal,Blues,Reforms,Labour,Conservative,Reform,LibDem,Green,Oth,SNP,Plaid
Aldershot,Hampshire,South East,0,2.2302648,9.601583515200717,12.038584300145882,26.466818114945198,23.589032921867243,6.402711699999999,19.671004647840974,40.7,29.0,16.9,8.3,4.4,0.6,0,0
Aldridge-Brownhills,West Midlands,West Midlands,0,2.2039185999999997,8.258832976445381,11.961245363287087,27.860023447070517,23.581030353573098,1.3751106000000002,24.75983865962392,28.5,38.8,24.2,4.3,4.3,0.0,0,0
Altrincham and Sale West,Greater Manchester,North West,0,6.405810300000001,7.912408006495922,10.851632474267467,16.90653263441068,38.5400832894459,7.2261884,12.157344895380032,40.4,32.3,9.6,9.2,7.2,1.2,0,0
Amber Valley,Derbyshire,East Midlands,0,0.2424712,7.696986525976158,5.337383742933991,30.74954658286613,18.515733710723467,3.9505321999999996,33.507346037500255,37.0,25.2,28.7,3.7,5.4,0.0,0,0
Arundel and South Downs,West Sussex,South East,0,0.2634395,6.836464413596888,7.393255370169832,16.297449678482963,31.96866841944376,19.5726533,17.66806931830655,17.9,40.2,13.5,18.0,10.1,0.3,0,0
Ashfield,Nottinghamshire,East Midlands,0,0.6293346,8.516195771642842,6.20577270424171,34.392197182309644,13.699035932945968,1.4346389,35.12282490885984,29.0,8.2,42.8,1.6,2.8,15.7,0,0
Ashford,Kent,South East,0,1.885503,8.523884599008003,11.554827434543244,29.34204157112194,18.989074225438,7.8923325,21.81233666988881,32.5,28.7,21.6,5.2,9.3,2.7,0,0
Ashton-under-Lyne,Greater Manchester,North West,0,10.5627749,9.792277493415478,10.16454161714299,30.000355054456975,12.188734358014193,2.5520212,24.73929537697037,43.9,12.3,24.8,4.0,7.0,8.0,0,0
Aylesbury,Buckinghamshire,South East,0,8.715194,8.284727207465876,12.056770847626204,24.680799932680316,20.738888906661654,8.5906761,16.932943005565956,30.2,28.9,13.5,20.9,5.2,1.3,0,0
Banbury,Oxfordshire,South East,0,3.7180534,7.880454103761285,10.529536895770022,21.180471919846525,24.021172983764675,10.3280444,22.342266296857495,38.3,31.6,13.0,9.0,5.4,2.6,0,0
