Seat,County,Region, ,Muslim,Left,Progressives,Average,Liberal,Blues,Reforms,Labour,Conservative,Reform,LibDem,Green,Oth,SNP,Plaid
Aberdeen North,Aberdeen City,Scotland,,2.8889703,10.774664007063201,10.023641830905932,34.657689195434145,16.317218472983967,2.4177336,22.920082593612754,30.3,14.0,9.0,6.1,3.0,3.0,34.6,0
Aberdeen South,Aberdeen City,Scotland,,2.8795273999999997,14.06774457634053,17.59411076037977,23.27624144381312,22.673886920658212,3.3982769,16.11021199880837,24.7,24.4,6.9,6.3,3.5,1.4,32.8,0
Aberdeenshire North and Moray East,Aberdeenshire; Moray,Scotland,,0.2274777,8.18591656613117,3.101213491586125,35.81313850471426,17.46520719464696,0.1117,35.09534654292148,10.1,32.8,14.6,7.3,0.0,0.0,35.2,0
Airdrie and Shotts,North Lanarkshire,Scotland,,1.5756833000000001,9.832236710398105,3.824389495905119,34.00523049386712,18.89761788327591,0.1300077,31.734834416553753,51.5,4.6,8.1,2.0,0.0,2.9,30.9,0
Alloa and Grangemouth,Clackmannanshire; Falkirk,Scotland,,1.1969451,8.640228467579654,4.061402889098369,38.20591694344478,16.839171750977044,0.18217560000000002,30.87415924890015,43.8,7.6,9.2,2.8,3.4,4.2,28.9,0
Angus and Perthshire Glens,Angus; Perth and Kinross,Scotland,,0.39823460000000005,7.304932680984344,5.923643442210061,35.72429951988053,22.364751674387755,0.118,28.16613808253732,14.4,30.1,6.9,6.7,0.0,1.5,40.4,0
Arbroath and Broughty Ferry,Angus; Dundee City,Scotland,,1.0915627,8.370236994500946,5.127442892425142,35.582190673979056,22.514504615908393,0.1857667,27.128295423186465,33.4,15.5,8.6,5.1,0.0,2.1,35.3,0
"Argyll, Bute and South Lochaber",Argyll and Bute; Highland,Scotland,,0.3774206,7.421072651198157,5.498359917429609,39.012215886067565,21.41860718127639,0.1777,26.094623764028277,19.1,20.8,6.8,16.4,0.0,2.1,34.7,0
"Ayr, Carrick and Cumnock",East Ayrshire; South Ayrshire,Scotland,,0.4229219,8.445271799541972,4.656839178365052,38.949437983692775,16.720849412279065,0.21810439999999998,30.586575326121135,36.5,22.6,8.7,2.6,2.2,1.2,26.3,0
Bathgate and Linlithgow,Falkirk; West Lothian,Scotland,,0.8680096,8.486099786959828,4.897188708155465,33.250416677094506,24.900949157149405,0.2953101,27.3020259706408,47.0,7.5,8.4,5.2,3.3,1.5,27.2,0
"Berwickshire, Roxburgh and Selkirk",Scottish Borders,Scotland,,0.327173,7.640959736484203,6.354263613030009,38.44976345846279,18.348371378618396,0.1533,28.726168813404595,13.6,40.5,7.2,7.9,3.3,1.2,26.4,0
