Seat,County,Region, ,Muslim,Left,Progressives,Average,Liberal,Blues,Reforms,Labour,Conservative,Reform,LibDem,Green,Oth,SNP,Plaid
Aberafan Maesteg,Bridgend; Neath Port Talbot,Wales,,0.8112341000000001,8.971083262359567,4.838531922838293,35.01611766689004,13.484432127099662,0.312196,36.56640492081244,49.9,8.1,20.9,2.6,3.1,2.2,0,13.2
Alyn and Deeside,Flintshire,Wales,,0.5525457,8.00111954828659,5.178733031088497,34.16346770994197,21.628479641831234,0.292879,30.182775368851708,42.4,18.2,22.1,4.8,4.4,3.6,0,4.5
Bangor Aberconwy,Conwy; Denbighshire; Gwynedd,Wales,,1.3168733,12.33249473738251,7.875407651078995,38.5026561685727,16.069829450255494,0.35336080000000003,23.549377892710304,33.6,21.7,14.6,3.7,3.3,1.3,0,21.9
Blaenau Gwent and Rhymney,Blaenau Gwent; Caerphilly,Wales,,0.403606,8.610354936655826,4.625082539238744,34.737813220904,12.242361659393781,0.13025530000000002,39.25052634380765,53.6,12.6,0.0,4.2,5.7,11.0,0,12.8
"Brecon, Radnor and Cwm Tawe",Neath Port Talbot; Powys,Wales,,0.3193708,6.699832863261246,6.260187223343498,41.66377699070544,18.463518094992374,0.3660942,26.22721982769744,21.3,26.3,14.1,29.5,2.6,1.3,0,4.9
Bridgend,Bridgend,Wales,,0.6690934,7.702869347436401,6.211243978633397,37.55744497774089,20.781775941597623,0.2745759,26.802996454591685,39.9,16.3,19.1,3.5,4.3,8.1,0,8.8
Caerfyrddin,Carmarthenshire,Wales,,0.6041491,7.598378738905128,5.757496641653428,44.20911459272932,15.485912982758341,0.3196555,26.025292443953774,24.1,19.4,15.2,3.2,3.0,1.1,0,34.0
Caerphilly,Caerphilly,Wales,,0.34449480000000005,8.757278279926833,4.845953972027991,36.448321548307426,19.012759935097886,0.2220227,30.369168764639856,38.0,11.5,20.3,4.7,4.3,0.0,0,21.2
Cardiff East,Cardiff,Wales,,9.7844604,18.55746070851146,15.841478889760022,19.612415839779302,17.541387491203974,1.6619139,17.000882770745235,40.5,10.0,12.7,17.2,10.0,0.5,0,9.1
Cardiff North,Cardiff; Rhondda Cynon Taf,Wales,,4.1398628,13.22902390741578,9.974027519346555,34.698737140033444,21.7625850476986,1.3206663,14.875097285505616,43.9,20.3,12.6,6.7,6.7,0.0,0,9.8
Cardiff South and Penarth,Cardiff; Vale of Glamorgan,Wales,,12.0686092,26.11222487630085,20.01225946949759,12.07568733713515,14.787516690486857,2.1219636,12.821738826579564,44.5,13.9,11.5,7.4,14.5,0.0,0,8.2
Cardiff West,Cardiff; Rhondda Cynon Taf,Wales,,6.6649757,10.388945142652931,12.529949161260348,27.567867067618323,22.73459451360433,1.1238366000000002,18.98983181486408,36.7,15.3,12.6,4.3,7.1,3.0,0,21.1
Ceredigion Preseli,Ceredigion; Pembrokeshire,Wales,,0.5947496,13.409090909090821,7.0623577327473805,39.54067126742528,17.500011459111988,0.27608879999999997,21.61703023162453,11.6,10.3,11.6,15.0,4.0,0.5,0,46.9
Clwyd East,Denbighshire; Flintshire; Wrexham,Wales,,0.4504973,7.36088446991258,5.923260189078185,36.9609510326053,22.63037485095589,0.2070827,26.466949457448045,38.7,29.0,15.9,3.9,3.5,1.3,0,7.8
Clwyd North,Conwy; Denbighshire,Wales,,0.9541908,7.864201779831838,7.4607637168189695,40.813046800773776,13.384935259404049,0.34105739999999996,29.18180424317137,35.5,32.7,16.8,4.0,3.3,0.0,0,7.6
Dwyfor Meirionnydd,Denbighshire; Gwynedd,Wales,,0.3143522,7.912492073557378,5.908556669086515,39.73777985794932,18.44619273549425,0.128,27.552626463912535,14.6,11.7,12.0,3.4,3.6,0.7,0,53.9
Gower,Swansea,Wales,,1.246559,8.612267727300953,5.978873967334747,35.52194092093072,25.880396365785515,0.3075222,22.452439818648063,43.4,18.9,18.1,5.5,5.3,0.6,0,8.3
Llanelli,Carmarthenshire,Wales,,0.4869854,8.167646173379218,5.299816709316447,37.722114249048374,17.520152142326335,0.23713849999999997,30.566146825929625,31.3,10.5,27.6,3.1,2.7,1.5,0,23.3
Merthyr Tydfil and Aberdare,Merthyr Tydfil; Rhondda Cynon Taf,Wales,,0.4686308,8.769835785453113,5.334046659100056,37.41207338941177,14.13715409344796,0.1947251,33.683534172587095,44.8,7.6,23.7,3.6,3.5,3.2,0,13.5
Mid and South Pembrokeshire,Pembrokeshire,Wales,,0.535564,7.682364909341152,5.997361658001462,39.44095774291271,16.452553643998904,0.1920933,29.699104745745775,35.4,31.4,16.8,5.1,3.5,1.5,0,6.4
Monmouthshire,Monmouthshire,Wales,,0.46794820000000004,6.463961360103783,6.795617705570046,36.527191684224114,26.75080970548827,0.3044516,22.69001974461379,41.3,34.8,10.7,4.5,4.6,1.6,0,2.5
Montgomeryshire and Glyndwr,Powys; Wrexham,Wales,,0.4376726,7.77933185627111,6.045846006806569,37.65552574009772,18.40138105421442,0.1247,29.55554274261018,29.4,18.0,20.6,15.0,4.0,0.0,0,13.1
Neath and Swansea East,Neath Port Talbot; Swansea,Wales,,1.0158048,12.027687890805561,6.029665856652963,32.84146871513937,17.628423487978036,0.33656379999999997,30.120385449424074,41.8,9.4,25.3,5.8,4.3,0.0,0,13.3
Newport East,Newport,Wales,,8.7514194,9.432873581074332,10.208259829680449,29.16464876354678,16.128597376255627,0.4432995,25.870901549442813,42.5,16.8,19.1,5.3,5.4,5.0,0,5.8
Newport West and Islwyn,Caerphilly; Newport,Wales,,1.7856264,8.353552434869972,6.354426205045829,35.46450987758206,20.410076489266086,0.4351032,27.19670539323606,41.5,16.0,20.4,5.0,5.0,3.8,0,8.4
Pontypridd,Rhondda Cynon Taf,Wales,,0.7926179999999999,10.535626770580569,6.562186082936121,38.51865597904073,14.89735319609152,0.31056530000000004,28.382994671351067,41.2,9.6,19.9,4.1,4.7,7.1,0,13.4
Rhondda and Ogmore,Bridgend; Rhondda Cynon Taf,Wales,,0.3837429,9.466121640034677,5.216110600383967,36.76754291459913,10.863879886742739,0.1739049,37.12869715823948,47.8,5.7,26.1,2.6,3.3,0.0,0,14.5
Swansea West,Swansea,Wales,,5.6024794,18.71670014848454,10.77866459236215,31.84157134671821,8.973982466700813,0.6829746999999999,23.403627345734286,41.4,9.9,17.5,12.2,6.5,0.9,0,11.5
Torfaen,Torfaen,Wales,,0.39340210000000003,8.575826529246399,4.5293613742848065,37.607526419120056,16.00427227748633,0.28938939999999996,32.60022189986241,42.5,16.1,22.0,4.6,4.8,2.9,0,7.2
Vale of Glamorgan,Vale of Glamorgan,Wales,,0.8284864,8.061616462097602,7.231861497250132,36.70434528748693,22.8687419621999,0.3231309,23.981817490965437,38.7,29.5,15.2,3.5,4.1,1.9,0,7.1
Wrexham,Wrexham,Wales,,1.3352846,8.856942410181285,6.984040319215481,37.53814188790793,16.13694728216485,0.3371392,28.81150430053045,39.2,24.5,17.1,4.4,3.3,1.2,0,10.2
Ynys Môn,Isle of Anglesey,Wales,,0.47619740000000005,7.092754139220203,5.944303107841508,39.59544600660391,19.00008863996204,0.1336,27.75761070637234,23.4,30.5,9.9,1.3,1.9,0.6,0,32.5
